Date,INR_amount,USD_rate
2019-12-31,71.382,1
2020-01-02,71.389,1
2020-01-03,71.777,1
2020-01-06,71.931,1
2020-01-07,71.84,1
2020-01-08,71.713,1
2020-01-09,71.253,1
2020-01-10,70.951,1
2020-01-13,70.845,1
2020-01-14,70.83,1
2020-01-15,70.797,1
2020-01-16,70.929,1
2020-01-17,71.081,1
2020-01-20,71.073,1
2020-01-21,71.196,1
2020-01-22,71.127,1
2020-01-23,71.315,1
2020-01-24,71.291,1
2020-01-27,71.421,1
2020-01-28,71.289,1
2020-01-29,71.282,1
2020-01-30,71.639,1
2020-01-31,71.395,1
2020-02-03,71.393,1
2020-02-04,71.245,1
2020-02-05,71.154,1
2020-02-06,71.148,1
2020-02-07,71.44,1
2020-02-10,71.324,1
2020-02-11,71.272,1
2020-02-12,71.316,1
2020-02-13,71.271,1
2020-02-14,71.45,1
2020-02-17,71.382,1
2020-02-18,71.551,1
2020-02-19,71.513,1
2020-02-20,71.616,1
2020-02-21,71.988,1
2020-02-24,71.941,1
2020-02-25,71.701,1
2020-02-26,71.651,1
2020-02-27,71.633,1
2020-02-28,72.228,1
2020-03-02,72.757,1
2020-03-03,73.248,1
2020-03-04,73.258,1
2020-03-05,73.433,1
2020-03-06,73.739,1
2020-03-09,74.162,1
2020-03-10,73.845,1
2020-03-11,73.677,1
2020-03-12,74.262,1
2020-03-13,73.739,1
2020-03-16,74.222,1
2020-03-17,74.276,1
2020-03-18,74.209,1
2020-03-19,75.123,1
2020-03-20,75.147,1
2020-03-23,76.166,1
2020-03-24,75.957,1
2020-03-25,76.383,1
2020-03-26,75.157,1
2020-03-27,75.494,1
2020-03-30,75.675,1
2020-03-31,75.666,1
2020-04-01,76.445,1
2020-04-02,76.407,1
2020-04-03,76.236,1
2020-04-06,76.091,1
2020-04-07,75.563,1
2020-04-08,76.23,1
2020-04-09,76.314,1
2020-04-14,76.156,1
2020-04-15,76.502,1
2020-04-16,76.874,1
2020-04-17,76.483,1
2020-04-20,76.556,1
2020-04-21,76.94,1
2020-04-22,76.534,1
2020-04-23,76.068,1
2020-04-24,76.269,1
2020-04-27,76.133,1
2020-04-28,75.867,1
2020-04-29,75.65,1
2020-04-30,75.037,1
2020-05-04,75.663,1
2020-05-05,75.754,1
2020-05-06,75.858,1
2020-05-07,75.832,1
2020-05-08,75.588,1
2020-05-11,75.85,1
2020-05-12,75.143,1
2020-05-13,75.292,1
2020-05-14,75.602,1
2020-05-15,75.931,1
2020-05-18,75.831,1
2020-05-19,75.662,1
2020-05-20,75.616,1
2020-05-21,75.5,1
2020-05-22,75.871,1
2020-05-25,75.885,1
2020-05-26,75.563,1
2020-05-27,75.735,1
2020-05-28,75.763,1
2020-05-29,75.521,1
2020-06-01,75.513,1
2020-06-02,75.21,1
2020-06-03,75.496,1
2020-06-04,75.493,1
2020-06-05,75.578,1
2020-06-08,75.534,1
2020-06-09,75.536,1
2020-06-10,75.516,1
2020-06-11,75.837,1
2020-06-12,75.893,1
2020-06-15,76.006,1
2020-06-16,76.097,1
2020-06-17,76.166,1
2020-06-18,76.341,1
2020-06-19,76.137,1
2020-06-22,76.037,1
2020-06-23,75.49,1
2020-06-24,75.647,1
2020-06-25,75.634,1
2020-06-26,75.644,1
2020-06-29,75.496,1
2020-06-30,75.567,1
2020-07-01,75.554,1
2020-07-02,74.739,1
2020-07-03,74.679,1
2020-07-06,74.57,1
2020-07-07,74.81,1
2020-07-08,75.004,1
2020-07-09,74.987,1
2020-07-10,75.239,1
2020-07-13,75.223,1
2020-07-14,75.402,1
2020-07-15,75.122,1
2020-07-16,75.223,1
2020-07-17,74.965,1
2020-07-20,74.808,1
2020-07-21,74.613,1
2020-07-22,74.529,1
2020-07-23,74.838,1
2020-07-24,74.836,1
2020-07-27,74.728,1
2020-07-28,74.857,1
2020-07-29,74.789,1
2020-07-30,74.887,1
2020-07-31,74.814,1
2020-08-03,75.2,1
2020-08-04,75.121,1
2020-08-05,74.835,1
2020-08-06,74.947,1
2020-08-07,75.002,1
2020-08-10,74.904,1
2020-08-11,74.565,1
2020-08-12,74.802,1
2020-08-13,74.842,1
2020-08-14,74.892,1
2020-08-17,74.825,1
2020-08-18,74.651,1
2020-08-19,74.851,1
2020-08-20,75.097,1
2020-08-21,74.943,1
2020-08-24,74.086,1
2020-08-25,74.251,1
2020-08-26,74.315,1
2020-08-27,73.92,1
2020-08-28,73.193,1
2020-08-31,73.258,1
2020-09-01,72.921,1
2020-09-02,73.198,1
2020-09-03,73.529,1
2020-09-04,73.197,1
2020-09-07,73.452,1
2020-09-08,73.916,1
2020-09-09,73.567,1
2020-09-10,73.449,1
2020-09-11,73.595,1
2020-09-14,73.543,1
2020-09-15,73.596,1
2020-09-16,73.528,1
2020-09-17,73.629,1
2020-09-18,73.532,1
2020-09-21,73.556,1
2020-09-22,73.475,1
2020-09-23,73.537,1
2020-09-24,73.946,1
2020-09-25,73.681,1
2020-09-28,73.719,1
2020-09-29,73.731,1
2020-09-30,73.71,1
2020-10-01,73.034,1
2020-10-02,73.35,1
2020-10-05,73.156,1
2020-10-06,73.396,1
2020-10-07,73.288,1
2020-10-08,73.26,1
2020-10-09,73.082,1
2020-10-12,73.294,1
2020-10-13,73.318,1
2020-10-14,73.277,1
2020-10-15,73.474,1
2020-10-16,73.307,1
2020-10-19,73.305,1
2020-10-20,73.539,1
2020-10-21,73.718,1
2020-10-22,73.691,1
2020-10-23,73.65,1
2020-10-26,74.076,1
2020-10-27,73.665,1
2020-10-28,74.017,1
2020-10-29,74.41,1
2020-10-30,74.466,1
2020-11-02,74.459,1
2020-11-03,74.406,1
2020-11-04,74.396,1
2020-11-05,74.011,1
2020-11-06,74.145,1
2020-11-09,73.752,1
2020-11-10,74.246,1
2020-11-11,74.418,1
2020-11-12,74.693,1
2020-11-13,74.642,1
2020-11-16,74.455,1
2020-11-17,74.466,1
2020-11-18,74.157,1
2020-11-19,74.206,1
2020-11-20,74.13,1
2020-11-23,74.027,1
2020-11-24,74.083,1
2020-11-25,73.886,1
2020-11-26,73.84,1
2020-11-27,74.065,1
2020-11-30,74.065,1
2020-12-01,73.655,1
2020-12-02,73.736,1
2020-12-03,73.829,1
2020-12-04,73.756,1
2020-12-07,73.903,1
2020-12-08,73.634,1
2020-12-09,73.672,1
2020-12-10,73.669,1
2020-12-11,73.778,1
2020-12-14,73.549,1
2020-12-15,73.591,1
2020-12-16,73.648,1
2020-12-17,73.591,1
2020-12-18,73.513,1
2020-12-21,74.041,1
2020-12-22,73.862,1
2020-12-23,73.804,1
2020-12-24,73.55,1
2020-12-28,73.5,1
2020-12-29,73.367,1
2020-12-30,73.186,1
2020-12-31,73.067,1
2021-01-04,73.024,1
2021-01-05,73.238,1
2021-01-06,73.107,1
2021-01-07,73.355,1
2021-01-08,73.306,1
2021-01-11,73.46,1
2021-01-12,73.259,1
2021-01-13,73.163,1
2021-01-14,73.128,1
2021-01-15,73.117,1
2021-01-18,73.309,1
2021-01-19,73.154,1
2021-01-20,73.027,1
2021-01-21,72.973,1
2021-01-22,73.014,1
2021-01-25,72.934,1
2021-01-26,72.931,1
2021-01-27,73.006,1
2021-01-28,73.046,1
2021-01-29,72.866,1
2021-02-01,73.105,1
2021-02-02,72.991,1
2021-02-03,72.913,1
2021-02-04,72.883,1
2021-02-05,72.912,1
2021-02-08,72.948,1
2021-02-09,72.935,1
2021-02-10,72.829,1
2021-02-11,72.775,1
2021-02-12,72.58,1
2021-02-15,72.611,1
2021-02-16,72.816,1
2021-02-17,72.794,1
2021-02-18,72.55,1
2021-02-19,72.502,1
2021-02-22,72.505,1
2021-02-23,72.519,1
2021-02-24,72.353,1
2021-02-25,72.63,1
2021-02-26,73.905,1
2021-03-01,73.567,1
2021-03-02,73.379,1
2021-03-03,72.85,1
