ISO3,countryname,year,id,NOMINAL_GDP,REAL_GDP,INFLATION,UNEMPLOYMENT
ABW,Aruba,2020,ABW,4442.5244,4266.0449,1.222,8.6000004
ABW,Aruba,2021,ABW,5243.7095,5295.5537,0.74400002,8.8000002
ABW,Aruba,2022,ABW,5870.0249,5746.6245,5.52,4.3000002
ABW,Aruba,2023,ABW,6530.9458,5991.6445,3.3659999,4.0
ABW,Aruba,2024,ABW,7073.9414,6380.3516,1.712316,3.859
ABW,Aruba,2025,ABW,7338.939,6520.2866,1.5140413,4.3629999
AFG,Afghanistan,2020,AFG,1534965.5,1232255.6,5.4429998,18.566629
AFG,Afghanistan,2021,AFG,1251171.8,976700.06,5.0619998,5.6789999
AFG,Afghanistan,2022,AFG,1283441.4,915752.25,10.6,
AFG,Afghanistan,2023,AFG,1357275.0,936511.81,-7.4484615,
AFG,Afghanistan,2024,AFG,,,-6.6011858,
AFG,Afghanistan,2025,AFG,,,,
AGO,Angola,2020,AGO,31700770.0,12547928.0,21.024,16.497
AGO,Angola,2021,AGO,44141400.0,12698403.0,23.846111,15.799
AGO,Angola,2022,AGO,52183996.0,13085036.0,23.826818,14.124
AGO,Angola,2023,AGO,62030064.0,13226105.0,13.644102,
AGO,Angola,2024,AGO,81122720.0,13811215.0,28.240496,
AGO,Angola,2025,AGO,99684816.0,14139028.0,22.000616,
AIA,Anguilla,2020,AIA,705.71442,657.30145,-0.47358328,
AIA,Anguilla,2021,AIA,824.11682,728.07367,1.796574,
AIA,Anguilla,2022,AIA,1050.2245,909.69495,5.5545421,
AIA,Anguilla,2023,AIA,1122.4852,932.14124,3.4066362,
AIA,Anguilla,2024,AIA,,,-0.48674509,
ALB,Albania,2020,ALB,1655984.5,1586283.8,1.6208866,11.675
ALB,Albania,2021,ALB,1866671.8,1728566.3,2.0414717,11.5
ALB,Albania,2022,ALB,2149741.8,1812000.6,6.7252026,10.787
ALB,Albania,2023,ALB,2364276.0,1884760.0,5.5652237,10.66925
ALB,Albania,2024,ALB,2517819.8,1961016.0,2.5999999,8.8000002
ALB,Albania,2025,ALB,2678857.0,2035307.1,2.3736038,8.8000002
AND,Andorra,2020,AND,2531.0869,2408.6646,0.092612378,2.925
AND,Andorra,2021,AND,2810.9653,2608.2649,1.6766649,3.2750001
AND,Andorra,2022,AND,3210.3101,2857.7354,6.2030621,2.0999999
AND,Andorra,2023,AND,3500.5801,2931.5667,5.6072392,1.55
AND,Andorra,2024,AND,3732.3701,3030.4138,3.0733705,1.425
AND,Andorra,2025,AND,3877.3845,3087.1899,2.240407,1.6
ANT,Netherlands Antilles,2020,ANT,,,,
ANT,Netherlands Antilles,2021,ANT,,,,
ANT,Netherlands Antilles,2022,ANT,,,,
ANT,Netherlands Antilles,2023,ANT,,,,
ANT,Netherlands Antilles,2024,ANT,,,,
ARE,United Arab Emirates,2020,ARE,1283439.6,1407825.9,-2.0794032,4.2940001
ARE,United Arab Emirates,2021,ARE,1524744.1,1469133.4,0.18000001,3.105
ARE,United Arab Emirates,2022,ARE,1846283.0,1579460.8,4.8278885,2.8729999
ARE,United Arab Emirates,2023,ARE,1888144.0,1636616.9,1.623,2.151
ARE,United Arab Emirates,2024,ARE,1972422.0,1698180.0,1.662919,
ARE,United Arab Emirates,2025,ARE,2014727.0,1765960.5,2.0999746,
ARG,Argentina,2020,ARG,27209814.0,5154819.5,40.404758,11.55
ARG,Argentina,2021,ARG,46219084.0,5693075.5,48.04678,8.75
ARG,Argentina,2022,ARG,82652824.0,5993094.0,72.358711,6.8249998
ARG,Argentina,2023,ARG,191404992.0,5896545.5,117.20367,6.125
ARG,Argentina,2024,ARG,594884736.0,5669623.5,120.87206,7.1500001
ARG,Argentina,2025,ARG,1027450048.0,5876073.0,29.782642,6.3000002
ARM,Armenia,2020,ARM,6181902.5,5706840.0,1.2114358,18.200001
ARM,Armenia,2021,ARM,6991778.0,6037836.0,7.1848364,15.5
ARM,Armenia,2022,ARM,8501449.0,6798603.5,8.6409111,13.5
ARM,Armenia,2023,ARM,9505222.0,7362888.0,1.9804188,8.2980003
ARM,Armenia,2024,ARM,10207061.0,7797298.5,0.26951197,13.0
ARM,Armenia,2025,ARM,10939401.0,8148572.0,3.2107105,13.5
