Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,72.47,72.53,71.22,71.48,135480400,AAPL
2020-01-03,71.76,72.52,71.54,71.7,146322800,AAPL
2020-01-06,72.34,72.37,70.63,70.89,118387200,AAPL
2020-01-07,72.0,72.6,71.78,72.35,108872000,AAPL
2020-01-08,73.15,73.46,71.7,71.7,132079200,AAPL
2020-01-09,74.71,74.9,73.88,74.13,170108400,AAPL
2020-01-10,74.88,75.44,74.37,74.94,140644800,AAPL
2020-01-13,76.48,76.5,75.07,75.19,121532000,AAPL
2020-01-14,75.44,76.62,75.32,76.41,161954400,AAPL
2020-01-15,75.12,76.12,74.69,75.24,121923600,AAPL
2020-01-16,76.06,76.17,75.3,75.66,108829200,AAPL
2020-01-17,76.9,76.91,76.0,76.31,137816400,AAPL
2020-01-21,76.38,76.97,76.24,76.53,110843200,AAPL
2020-01-22,76.65,77.21,76.56,76.87,101832400,AAPL
2020-01-23,77.02,77.1,76.16,76.71,104472000,AAPL
2020-01-24,76.8,78.01,76.61,77.27,146537600,AAPL
2020-01-27,74.54,75.22,73.56,74.81,161940000,AAPL
2020-01-28,76.65,76.82,75.33,75.42,162234000,AAPL
2020-01-29,78.26,79.1,77.54,78.28,216229200,AAPL
2020-01-30,78.14,78.2,76.91,77.34,126743200,AAPL
2020-01-31,74.68,77.86,74.38,77.43,199588400,AAPL
2020-02-03,74.47,75.64,72.92,73.42,173788400,AAPL
2020-02-04,76.93,77.12,75.67,76.08,136616400,AAPL
2020-02-05,77.56,78.36,76.96,78.06,118826800,AAPL
2020-02-06,78.47,78.47,77.27,77.83,105425600,AAPL
2020-02-07,77.4,78.21,76.91,77.97,117684000,AAPL
2020-02-10,77.77,77.77,75.91,75.99,109348800,AAPL
2020-02-11,77.3,78.34,77.08,78.26,94323200,AAPL
2020-02-12,79.13,79.14,77.75,77.75,113730400,AAPL
2020-02-13,78.57,78.9,78.2,78.41,94747600,AAPL
2020-02-14,78.59,78.84,78.08,78.54,80113600,AAPL
2020-02-18,77.15,77.33,76.09,76.27,152531200,AAPL
2020-02-19,78.27,78.5,77.39,77.39,93984000,AAPL
2020-02-20,77.47,78.52,76.96,78.03,100566000,AAPL
2020-02-21,75.71,77.5,75.1,77.06,129554000,AAPL
2020-02-24,72.12,73.57,69.95,71.89,222195200,AAPL
2020-02-25,69.67,73.17,69.2,72.79,230673600,AAPL
2020-02-26,70.78,72.04,69.29,69.3,198054800,AAPL
2020-02-27,66.15,69.17,66.02,67.98,320605600,AAPL
2020-02-28,66.11,67.33,62.0,62.22,426510000,AAPL
2020-03-02,72.27,72.9,67.17,68.27,341397200,AAPL
2020-03-03,69.97,73.52,69.12,73.44,319475600,AAPL
2020-03-04,73.22,73.38,70.89,71.69,219178400,AAPL
2020-03-05,70.84,72.45,70.48,71.47,187572800,AAPL
2020-03-06,69.9,70.34,68.02,68.2,226176800,AAPL
2020-03-09,64.37,67.26,63.61,63.79,286744800,AAPL
2020-03-10,69.01,69.28,65.15,67.03,285290000,AAPL
2020-03-11,66.61,68.01,65.75,67.09,255598800,AAPL
2020-03-12,60.03,65.3,59.98,61.9,418474000,AAPL
2020-03-13,67.23,67.7,61.18,64.06,370732000,AAPL
2020-03-16,58.58,62.66,58.04,58.52,322423600,AAPL
2020-03-17,61.15,62.3,57.66,59.86,324056000,AAPL
2020-03-18,59.66,60.46,57.35,57.99,300233600,AAPL
