Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,49.1,49.25,46.63,46.86,80331100,AMD
2020-01-03,48.6,49.39,47.54,48.03,73127400,AMD
2020-01-06,48.39,48.86,47.86,48.02,47934900,AMD
2020-01-07,48.25,49.39,48.04,49.35,58061400,AMD
2020-01-08,47.83,48.3,47.14,47.85,53767000,AMD
2020-01-09,48.97,49.96,48.39,48.94,76512800,AMD
2020-01-10,48.17,49.29,48.0,49.26,44133700,AMD
2020-01-13,48.75,48.86,48.24,48.66,34266800,AMD
2020-01-14,48.21,49.04,47.91,48.64,38563200,AMD
2020-01-15,48.55,49.08,48.12,48.23,40199900,AMD
2020-01-16,49.77,50.31,48.99,49.17,58898900,AMD
2020-01-17,50.93,51.05,49.9,50.2,57722500,AMD
2020-01-21,51.05,51.81,50.7,50.96,49095000,AMD
2020-01-22,51.43,51.88,51.2,51.63,40772200,AMD
2020-01-23,51.71,51.75,50.74,51.34,40135400,AMD
2020-01-24,50.35,52.81,49.47,52.28,80004900,AMD
2020-01-27,49.26,49.79,47.9,48.45,48878600,AMD
2020-01-28,50.53,50.85,49.48,50.03,62343800,AMD
2020-01-29,47.51,48.07,46.1,47.84,112349900,AMD
2020-01-30,48.78,48.81,46.13,46.49,70460200,AMD
2020-01-31,47.0,48.58,46.79,48.4,60322400,AMD
2020-02-03,48.02,48.1,46.23,46.4,46983500,AMD
2020-02-04,49.45,49.75,48.61,49.21,46302100,AMD
2020-02-05,49.84,50.42,49.31,50.29,42737100,AMD
2020-02-06,49.32,49.39,47.63,48.8,48670600,AMD
2020-02-07,49.73,50.67,48.64,48.91,53107600,AMD
2020-02-10,52.26,52.3,49.35,49.47,60971700,AMD
2020-02-11,53.8,54.48,52.91,53.22,74719100,AMD
2020-02-12,53.89,54.85,53.53,54.53,45994900,AMD
2020-02-13,54.53,55.03,53.34,53.43,51640000,AMD
2020-02-14,55.31,55.4,54.56,55.19,52365400,AMD
2020-02-18,56.89,58.13,54.84,54.94,70133200,AMD
2020-02-19,58.9,59.27,57.51,57.99,58597300,AMD
2020-02-20,57.27,59.02,56.15,58.44,74203400,AMD
2020-02-21,53.28,56.8,52.89,56.71,88271100,AMD
2020-02-24,49.12,50.28,47.49,48.18,86624100,AMD
2020-02-25,47.57,51.24,47.12,51.14,88699400,AMD
2020-02-26,47.49,49.29,47.07,47.7,86378400,AMD
2020-02-27,44.01,46.24,42.21,45.38,106416200,AMD
2020-02-28,45.48,46.15,41.04,41.36,100331800,AMD
2020-03-02,47.46,47.68,44.66,47.42,102324700,AMD
2020-03-03,46.75,50.2,45.67,49.03,141972300,AMD
