Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,94.9,94.9,93.21,93.75,80580000,AMZN
2020-01-03,93.75,94.31,93.22,93.22,75288000,AMZN
2020-01-06,95.14,95.18,93.0,93.0,81236000,AMZN
2020-01-07,95.34,95.69,94.6,95.22,80898000,AMZN
2020-01-08,94.6,95.55,94.32,94.9,70160000,AMZN
2020-01-09,95.05,95.89,94.79,95.49,63346000,AMZN
2020-01-10,94.16,95.35,94.0,95.27,57074000,AMZN
2020-01-13,94.57,94.9,94.04,94.57,55616000,AMZN
2020-01-14,93.47,94.36,92.93,94.29,68818000,AMZN
2020-01-15,93.1,93.94,92.75,93.61,57932000,AMZN
2020-01-16,93.9,94.28,93.3,94.15,53190000,AMZN
2020-01-17,93.24,94.33,92.86,94.29,79946000,AMZN
2020-01-21,94.6,94.71,93.0,93.25,74156000,AMZN
2020-01-22,94.37,95.12,94.17,94.8,64326000,AMZN
2020-01-23,94.23,94.5,93.64,94.26,49692000,AMZN
2020-01-24,93.08,94.75,92.37,94.57,75324000,AMZN
2020-01-27,91.42,92.05,90.77,91.0,70570000,AMZN
2020-01-28,92.66,92.91,91.5,92.03,56160000,AMZN
2020-01-29,92.9,93.74,92.75,93.2,41760000,AMZN
2020-01-30,93.53,93.64,92.53,92.9,126548000,AMZN
2020-01-31,100.44,102.79,100.11,102.57,311346000,AMZN
2020-02-03,100.21,102.43,100.01,100.53,117834000,AMZN
2020-02-04,102.48,102.99,100.77,101.49,105786000,AMZN
2020-02-05,101.99,103.55,101.6,103.55,87524000,AMZN
2020-02-06,102.51,102.82,101.24,102.05,63660000,AMZN
2020-02-07,103.96,104.93,101.9,102.1,101906000,AMZN
2020-02-10,106.7,106.78,104.25,104.25,101124000,AMZN
2020-02-11,107.54,109.3,106.8,107.54,114920000,AMZN
2020-02-12,108.0,109.01,107.76,108.16,66686000,AMZN
2020-02-13,107.49,108.51,107.1,107.25,60636000,AMZN
2020-02-14,106.74,107.95,106.29,107.78,52124000,AMZN
2020-02-18,107.78,108.3,106.21,106.25,58912000,AMZN
2020-02-19,108.51,109.25,108.06,108.39,51224000,AMZN
2020-02-20,107.65,108.84,106.37,108.65,62626000,AMZN
2020-02-21,104.8,107.23,104.4,107.11,92926000,AMZN
2020-02-24,100.46,101.96,99.4,100.16,130940000,AMZN
2020-02-25,98.64,101.73,97.92,101.32,124382000,AMZN
2020-02-26,98.98,100.73,98.02,98.51,104492000,AMZN
2020-02-27,94.21,98.75,94.14,96.72,162880000,AMZN
2020-02-28,94.19,94.49,90.56,90.73,189620000,AMZN
2020-03-02,97.7,97.73,93.5,95.32,135234000,AMZN
2020-03-03,95.45,99.82,94.4,98.77,150690000,AMZN
2020-03-04,98.79,98.9,96.1,97.33,95458000,AMZN
2020-03-05,96.2,98.04,95.5,96.65,94964000,AMZN
2020-03-06,95.05,95.54,93.47,93.75,105472000,AMZN
2020-03-09,90.03,93.14,88.06,88.69,156264000,AMZN
2020-03-10,94.59,94.71,90.91,93.54,142666000,AMZN
2020-03-11,91.04,93.57,90.07,92.89,112496000,AMZN
2020-03-12,83.83,88.25,83.75,86.1,226924000,AMZN
2020-03-13,89.25,89.32,84.03,87.75,176194000,AMZN
2020-03-16,84.46,87.97,81.3,82.08,178346000,AMZN
2020-03-17,90.39,92.89,84.46,88.77,218342000,AMZN
2020-03-18,91.5,92.08,87.25,87.5,192904000,AMZN
2020-03-19,94.05,97.25,91.63,93.0,207998000,AMZN
2020-03-20,92.3,97.85,91.04,96.32,196358000,AMZN
2020-03-23,95.14,95.97,90.6,91.39,156170000,AMZN
2020-03-24,97.0,97.75,95.02,97.57,142942000,AMZN
2020-03-25,94.29,97.51,94.29,96.03,129582000,AMZN
2020-03-26,97.77,97.82,94.46,95.1,124426000,AMZN
2020-03-27,95.0,96.99,95.0,96.54,107758000,AMZN
2020-03-30,98.2,98.68,95.62,96.14,122522000,AMZN
2020-03-31,97.49,99.65,97.2,98.22,102472000,AMZN
2020-04-01,95.39,97.25,94.65,96.65,82438000,AMZN
2020-04-02,95.94,96.38,94.5,95.08,86720000,AMZN
2020-04-03,95.33,96.32,94.46,95.56,72198000,AMZN
2020-04-06,99.88,99.93,96.5,96.8,115464000,AMZN
2020-04-07,100.58,101.79,99.88,100.86,102280000,AMZN
2020-04-08,102.15,102.2,100.56,101.05,79546000,AMZN
2020-04-09,102.14,102.65,100.88,102.21,92930000,AMZN
2020-04-13,108.44,109.0,101.9,102.0,134334000,AMZN
2020-04-14,114.17,114.6,109.31,110.02,161744000,AMZN
2020-04-15,115.38,116.67,112.25,112.88,137332000,AMZN
2020-04-16,120.41,123.05,116.75,117.3,240764000,AMZN
2020-04-17,118.75,120.0,115.8,118.62,158600000,AMZN
2020-04-20,119.68,122.25,119.3,119.5,115414000,AMZN
2020-04-21,116.41,121.42,113.98,120.83,149534000,AMZN
2020-04-22,118.17,119.7,117.55,118.45,84244000,AMZN
2020-04-23,119.97,121.21,119.1,120.0,101332000,AMZN
2020-04-24,120.51,121.02,119.1,120.85,76498000,AMZN
2020-04-27,118.8,122.24,118.15,122.16,112912000,AMZN
2020-04-28,115.7,118.68,115.3,118.61,105388000,AMZN
2020-04-29,118.64,119.59,115.5,116.5,91832000,AMZN
2020-04-30,123.7,123.75,119.8,120.99,190692000,AMZN
2020-05-01,114.3,118.12,112.91,116.84,195452000,AMZN
2020-05-04,115.8,116.35,112.82,112.82,97318000,AMZN
2020-05-05,115.89,117.55,115.36,117.0,64850000,AMZN
2020-05-06,117.56,117.87,116.0,116.47,62356000,AMZN
2020-05-07,118.38,118.8,117.16,118.74,67928000,AMZN
2020-05-08,118.98,119.36,117.85,118.61,64132000,AMZN
2020-05-11,120.45,120.98,118.61,118.74,65184000,AMZN
2020-05-12,117.85,120.95,117.75,120.59,61498000,AMZN
2020-05-13,118.4,120.39,116.89,118.34,95658000,AMZN
2020-05-14,119.44,119.57,117.66,118.05,72962000,AMZN
2020-05-15,120.49,120.55,117.82,118.43,84700000,AMZN
2020-05-18,121.31,121.65,119.2,120.22,87144000,AMZN
2020-05-19,122.47,124.25,121.45,121.49,86410000,AMZN
2020-05-20,124.9,125.0,123.36,123.89,79962000,AMZN
2020-05-21,122.34,126.27,122.13,125.0,102288000,AMZN
2020-05-22,121.84,123.49,121.51,122.75,57342000,AMZN
2020-05-26,121.09,123.1,120.7,122.9,71364000,AMZN
2020-05-27,120.52,120.68,116.5,120.25,101138000,AMZN
2020-05-28,120.06,121.85,118.91,119.22,63804000,AMZN
2020-05-29,122.12,122.12,119.91,120.8,70198000,AMZN
2020-06-01,123.55,123.85,122.21,122.4,58578000,AMZN
2020-06-02,123.62,123.68,122.27,123.35,50598000,AMZN
2020-06-03,123.92,124.4,123.06,123.4,53420000,AMZN
2020-06-04,123.03,125.38,122.5,123.87,58974000,AMZN
2020-06-05,124.15,124.43,121.86,122.23,66128000,AMZN
2020-06-08,126.2,126.5,124.37,125.01,79414000,AMZN
2020-06-09,130.04,131.32,126.25,126.47,103520000,AMZN
2020-06-10,132.37,136.12,131.31,132.25,98920000,AMZN
2020-06-11,127.9,133.57,126.81,130.18,116002000,AMZN
2020-06-12,127.25,131.07,125.17,130.06,108722000,AMZN
2020-06-15,128.63,129.2,125.4,126.33,77302000,AMZN
2020-06-16,130.76,131.0,128.8,131.0,71712000,AMZN
2020-06-17,132.05,132.75,131.59,132.38,59186000,AMZN
2020-06-18,132.7,132.98,131.81,132.35,49756000,AMZN
2020-06-19,133.75,134.87,132.95,133.9,115540000,AMZN
2020-06-22,135.69,135.75,133.45,134.23,64176000,AMZN
2020-06-23,138.22,139.16,135.9,136.3,84634000,AMZN
2020-06-24,136.72,139.8,136.05,139.0,90532000,AMZN
2020-06-25,137.73,137.81,135.61,136.98,59374000,AMZN
2020-06-26,134.64,139.13,134.4,138.75,130016000,AMZN
2020-06-29,134.02,134.84,131.5,134.5,84468000,AMZN
2020-06-30,137.94,138.48,133.75,134.25,75394000,AMZN
2020-07-01,143.93,144.75,137.7,137.9,127268000,AMZN
2020-07-02,144.51,147.78,143.55,145.6,131868000,AMZN
2020-07-06,152.85,152.99,146.5,146.75,137612000,AMZN
2020-07-07,150.01,153.48,149.5,152.93,105150000,AMZN
2020-07-08,154.06,154.2,150.62,151.13,100752000,AMZN
2020-07-09,159.13,159.69,153.7,155.8,127774000,AMZN
2020-07-10,160.0,160.75,156.79,159.59,109720000,AMZN
2020-07-13,155.2,167.21,153.42,162.55,154408000,AMZN
2020-07-14,154.2,156.37,147.5,154.45,144638000,AMZN
2020-07-15,150.44,154.92,148.66,154.01,115778000,AMZN
2020-07-16,149.99,151.6,145.91,148.55,127884000,AMZN
2020-07-17,148.1,151.2,147.42,150.45,95226000,AMZN
2020-07-20,159.84,160.07,149.7,150.01,151964000,AMZN
2020-07-21,156.91,162.03,155.29,161.62,122426000,AMZN
2020-07-22,155.0,157.5,153.26,156.25,82084000,AMZN
2020-07-23,149.33,154.91,148.5,154.91,113138000,AMZN
2020-07-24,150.45,151.58,144.4,146.5,112648000,AMZN
2020-07-27,152.76,154.9,150.79,153.1,83410000,AMZN
2020-07-28,150.02,153.85,149.79,152.71,62534000,AMZN
2020-07-29,151.68,151.96,149.84,151.55,59482000,AMZN
2020-07-30,152.59,154.6,150.25,150.7,122566000,AMZN
2020-07-31,158.23,162.34,157.55,162.2,161710000,AMZN
2020-08-03,155.59,159.2,155.2,159.03,101494000,AMZN
2020-08-04,156.94,158.36,155.06,155.06,93886000,AMZN
2020-08-05,160.25,160.68,156.37,157.19,78330000,AMZN
2020-08-06,161.25,162.37,158.27,159.72,78812000,AMZN
2020-08-07,158.37,162.04,157.03,161.2,78722000,AMZN
2020-08-10,157.41,158.63,155.08,158.52,63346000,AMZN
2020-08-11,154.03,157.96,153.65,155.66,74362000,AMZN
2020-08-12,158.11,158.72,155.07,155.4,70442000,AMZN
2020-08-13,158.05,160.88,157.75,159.15,62980000,AMZN
2020-08-14,157.4,158.91,156.0,158.91,55034000,AMZN
2020-08-17,159.12,159.75,157.71,158.66,53824000,AMZN
2020-08-18,165.62,166.0,160.29,160.6,106920000,AMZN
2020-08-19,163.02,165.79,162.8,165.15,83702000,AMZN
2020-08-20,164.87,165.63,161.9,162.6,66650000,AMZN
2020-08-21,164.24,165.72,163.77,164.75,71518000,AMZN
2020-08-24,165.37,169.02,162.88,165.51,93326000,AMZN
2020-08-25,167.32,167.87,163.35,164.75,79856000,AMZN
2020-08-26,172.09,172.59,167.23,167.56,130174000,AMZN
2020-08-27,170.0,172.65,168.9,172.5,85296000,AMZN
2020-08-28,170.09,171.67,169.32,171.15,57940000,AMZN
2020-08-31,172.55,174.75,170.25,170.45,83718000,AMZN
2020-09-01,174.96,175.69,173.35,174.48,68644000,AMZN
2020-09-02,176.57,177.61,174.33,177.35,78630000,AMZN
2020-09-03,168.4,174.42,165.15,174.25,163222000,AMZN
2020-09-04,164.73,169.07,155.56,165.9,175636000,AMZN
2020-09-08,157.49,162.54,156.5,157.2,121884000,AMZN
2020-09-09,163.43,165.16,159.25,160.15,103774000,AMZN
2020-09-10,158.76,167.49,158.53,165.36,106614000,AMZN
2020-09-11,155.81,160.87,154.2,160.43,101880000,AMZN
2020-09-14,155.15,159.37,154.8,158.65,90592000,AMZN
2020-09-15,157.81,158.75,155.45,156.81,80430000,AMZN
2020-09-16,153.9,159.36,153.71,159.0,90244000,AMZN
2020-09-17,150.44,151.47,148.63,150.46,128982000,AMZN
2020-09-18,147.75,151.89,145.28,151.59,177852000,AMZN
2020-09-21,148.02,148.1,143.55,145.32,122358000,AMZN
2020-09-22,156.45,156.7,150.01,151.69,138976000,AMZN
2020-09-23,149.99,156.35,149.62,156.02,113054000,AMZN
2020-09-24,150.99,153.46,148.25,148.89,110588000,AMZN
2020-09-25,154.76,155.08,149.95,152.74,92304000,AMZN
2020-09-28,158.7,158.75,155.86,157.44,84484000,AMZN
2020-09-29,157.24,159.41,156.63,158.77,69916000,AMZN
2020-09-30,157.44,160.64,156.7,157.06,97922000,AMZN
2020-10-01,161.06,161.2,158.6,160.4,99438000,AMZN
2020-10-02,156.25,159.79,156.15,157.68,112262000,AMZN
2020-10-05,159.96,160.13,157.04,157.29,75506000,AMZN
2020-10-06,155.0,159.1,154.5,158.25,101738000,AMZN
2020-10-07,159.78,160.0,156.62,156.75,86188000,AMZN
2020-10-08,159.53,161.66,158.75,161.25,63482000,AMZN
2020-10-09,164.33,164.45,159.89,160.5,98158000,AMZN
2020-10-12,172.15,174.81,166.98,167.5,167284000,AMZN
2020-10-13,172.18,174.62,171.21,173.4,114894000,AMZN
2020-10-14,168.19,173.24,167.0,172.35,116254000,AMZN
2020-10-15,166.93,167.79,164.0,164.6,104468000,AMZN
2020-10-16,163.64,169.98,158.0,168.16,129488000,AMZN
2020-10-19,160.36,166.45,159.64,164.98,104472000,AMZN
2020-10-20,160.85,163.3,159.6,161.11,90194000,AMZN
2020-10-21,159.25,161.69,158.0,160.62,91854000,AMZN
2020-10-22,158.82,159.94,156.1,159.49,84240000,AMZN
2020-10-23,160.22,160.27,157.0,159.55,69334000,AMZN
2020-10-26,160.35,164.15,157.66,159.94,118024000,AMZN
2020-10-27,164.32,164.58,160.57,161.25,85820000,AMZN
2020-10-28,158.14,163.2,158.12,162.46,111766000,AMZN
2020-10-29,160.55,162.86,158.2,160.06,131930000,AMZN
2020-10-30,151.81,158.35,150.95,157.89,167728000,AMZN
2020-11-02,150.22,153.99,147.51,153.09,145148000,AMZN
2020-11-03,152.42,153.74,149.05,150.93,97958000,AMZN
