Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,30.76,30.78,30.46,30.51,37614200,BAC
2020-01-03,30.12,30.34,30.0,30.19,50357900,BAC
2020-01-06,30.08,30.12,29.66,29.7,42185000,BAC
2020-01-07,29.88,30.14,29.8,29.95,34149000,BAC
2020-01-08,30.18,30.37,29.82,29.84,45311600,BAC
2020-01-09,30.23,30.49,30.16,30.47,39861600,BAC
2020-01-10,29.98,30.27,29.91,30.21,39730400,BAC
2020-01-13,30.26,30.27,29.91,30.07,37956100,BAC
2020-01-14,30.48,30.79,30.3,30.47,66719300,BAC
2020-01-15,29.92,30.03,29.64,30.01,74745500,BAC
2020-01-16,29.97,30.2,29.86,30.12,50368500,BAC
2020-01-17,29.96,30.16,29.86,30.14,54156100,BAC
2020-01-21,29.57,29.79,29.53,29.71,50811000,BAC
2020-01-22,29.66,29.73,29.54,29.66,38879700,BAC
2020-01-23,29.45,29.57,29.11,29.42,45717100,BAC
2020-01-24,28.95,29.47,28.71,29.45,47797200,BAC
2020-01-27,28.35,28.59,28.02,28.11,57096200,BAC
2020-01-28,28.69,28.9,28.44,28.5,38834600,BAC
2020-01-29,28.49,28.86,28.46,28.77,37414700,BAC
2020-01-30,28.9,28.93,28.2,28.22,50542800,BAC
2020-01-31,28.34,28.63,28.18,28.54,54845300,BAC
2020-02-03,28.46,28.83,28.41,28.48,48485500,BAC
2020-02-04,29.02,29.26,28.94,28.97,45061600,BAC
2020-02-05,29.96,30.04,29.41,29.43,54604800,BAC
2020-02-06,29.92,30.22,29.86,30.16,39511500,BAC
2020-02-07,29.87,29.91,29.55,29.62,31263000,BAC
2020-02-10,29.94,29.94,29.67,29.72,24373800,BAC
2020-02-11,30.01,30.24,30.0,30.08,32476300,BAC
2020-02-12,30.14,30.6,30.02,30.28,36656700,BAC
2020-02-13,30.13,30.23,29.82,30.0,31775100,BAC
2020-02-14,30.08,30.17,29.95,30.1,26447700,BAC
2020-02-18,29.58,30.06,29.35,30.01,40318000,BAC
2020-02-19,29.97,30.08,29.7,29.73,29632100,BAC
2020-02-20,30.08,30.28,29.74,29.74,42604100,BAC
2020-02-21,29.66,29.9,29.47,29.8,46675500,BAC
2020-02-24,28.25,28.66,28.07,28.64,79159600,BAC
2020-02-25,26.82,28.27,26.62,28.21,91586800,BAC
2020-02-26,26.44,27.27,26.38,27.09,80012800,BAC
2020-02-27,25.14,26.15,24.95,25.5,121148300,BAC
2020-02-28,24.6,24.81,23.91,24.17,171198800,BAC
2020-03-02,25.35,25.36,23.68,24.47,147776300,BAC
2020-03-03,23.95,25.68,23.84,25.35,138698500,BAC
2020-03-04,24.5,24.53,23.65,24.38,111239800,BAC
2020-03-05,23.26,23.76,22.93,23.66,110878700,BAC
2020-03-06,22.33,22.77,21.8,22.12,119121200,BAC
2020-03-09,19.05,20.4,18.68,19.31,145196000,BAC
2020-03-10,20.51,20.57,18.75,20.19,134863600,BAC
2020-03-11,19.69,20.81,19.33,19.84,127347000,BAC
2020-03-12,17.81,19.86,17.5,17.88,139552600,BAC
2020-03-13,20.99,21.06,18.66,19.27,128357400,BAC
2020-03-16,17.75,18.87,17.01,17.24,121688800,BAC
2020-03-17,19.09,19.71,17.4,18.29,120065700,BAC
2020-03-18,18.06,18.21,17.11,17.61,148272500,BAC
2020-03-19,18.41,18.89,16.5,17.6,122461300,BAC
2020-03-20,17.09,18.97,16.99,18.9,150910400,BAC
2020-03-23,15.7,17.09,15.59,16.73,181898500,BAC
2020-03-24,18.27,18.37,16.51,16.87,147882400,BAC
2020-03-25,18.33,19.2,17.73,18.86,146991300,BAC
