Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2021-06-24,45.02,47.0,42.31,44.0,12012700,CFLT
2021-06-25,46.15,46.77,45.0,45.84,2108500,CFLT
2021-06-28,53.16,55.12,46.86,46.99,3479500,CFLT
2021-06-29,50.0,57.99,48.34,54.66,3230400,CFLT
2021-06-30,47.5,50.0,46.4,50.0,3747400,CFLT
2021-07-01,44.25,48.66,43.58,47.8,1691700,CFLT
2021-07-02,43.5,45.4,43.25,45.07,983000,CFLT
2021-07-06,43.0,44.6,42.64,43.18,972900,CFLT
2021-07-07,42.0,43.57,41.1,42.51,562600,CFLT
2021-07-08,42.65,43.91,40.5,41.17,521600,CFLT
2021-07-09,45.81,46.27,42.5,42.5,731000,CFLT
2021-07-12,45.06,46.01,43.68,45.31,528400,CFLT
2021-07-13,43.33,46.74,42.97,44.55,526800,CFLT
2021-07-14,41.5,43.8,41.4,42.99,685300,CFLT
2021-07-15,40.48,41.45,39.71,41.43,493800,CFLT
2021-07-16,40.4,41.48,40.2,40.28,329600,CFLT
2021-07-19,40.14,41.19,39.0,39.11,428600,CFLT
2021-07-20,40.63,40.98,39.17,39.85,497700,CFLT
2021-07-21,39.36,40.95,38.82,40.31,744800,CFLT
2021-07-22,39.37,39.49,37.71,39.03,791100,CFLT
2021-07-23,40.04,40.3,38.12,39.1,709900,CFLT
2021-07-26,40.0,41.8,39.46,39.74,1199800,CFLT
2021-07-27,39.01,40.18,37.9,39.59,1292700,CFLT
2021-07-28,39.23,39.79,38.6,39.0,741600,CFLT
2021-07-29,39.0,40.0,38.71,39.3,497000,CFLT
2021-07-30,39.19,39.39,38.51,38.86,393100,CFLT
2021-08-02,41.54,41.75,39.25,39.56,579500,CFLT
2021-08-03,41.41,42.14,40.11,41.9,365700,CFLT
2021-08-04,41.51,41.71,40.61,40.84,428500,CFLT
2021-08-05,40.25,42.0,39.72,41.72,987200,CFLT
2021-08-06,44.37,46.07,40.26,42.3,4937500,CFLT
2021-08-09,47.28,48.59,43.15,43.25,5825500,CFLT
2021-08-10,50.49,51.8,46.49,46.87,3076200,CFLT
2021-08-11,50.06,51.33,48.33,50.13,1117600,CFLT
2021-08-12,54.15,54.2,49.83,50.0,1679500,CFLT
2021-08-13,54.0,54.5,52.77,54.0,755000,CFLT
2021-08-16,51.99,53.99,51.81,53.59,963200,CFLT
2021-08-17,52.47,54.7,51.09,51.79,1315800,CFLT
2021-08-18,52.73,53.45,51.8,52.29,337500,CFLT
2021-08-19,52.07,54.12,51.02,52.26,929500,CFLT
2021-08-20,54.03,54.13,52.04,52.18,459900,CFLT
2021-08-23,55.78,59.98,53.66,54.47,2445500,CFLT
2021-08-24,52.02,55.45,51.32,55.45,1052400,CFLT
2021-08-25,52.91,54.7,51.62,52.03,784900,CFLT
2021-08-26,57.68,58.0,52.0,52.43,949600,CFLT
2021-08-27,55.0,57.6,54.65,57.2,799400,CFLT
2021-08-30,56.14,57.51,54.49,55.14,722700,CFLT
2021-08-31,55.91,56.63,54.73,55.75,405300,CFLT
2021-09-01,53.07,57.2,52.8,56.9,991800,CFLT
2021-09-02,54.48,55.26,52.58,53.5,926400,CFLT
2021-09-03,59.01,60.0,54.28,54.93,1481200,CFLT
2021-09-07,61.33,61.7,57.77,59.77,1857400,CFLT
2021-09-08,58.73,62.0,57.58,61.5,1309300,CFLT
2021-09-09,64.9,65.6,58.55,59.51,1692400,CFLT
2021-09-10,65.51,67.11,63.55,65.05,1080200,CFLT
2021-09-13,65.15,66.0,62.22,66.0,913300,CFLT
2021-09-14,63.87,66.49,63.3,65.43,566200,CFLT
2021-09-15,67.34,68.83,62.72,63.35,1276600,CFLT
2021-09-16,67.74,68.6,65.65,67.47,1142200,CFLT
2021-09-17,69.76,71.0,66.58,68.01,2806100,CFLT
2021-09-20,63.73,67.85,62.11,66.56,1112500,CFLT
2021-09-21,65.6,66.88,64.7,65.0,878100,CFLT
2021-09-22,69.04,70.02,64.81,65.76,774000,CFLT
2021-09-23,72.61,72.99,67.74,71.71,747900,CFLT
2021-09-24,71.16,74.25,66.81,73.18,929900,CFLT
2021-09-27,70.17,73.73,69.04,71.89,739900,CFLT
2021-09-28,62.57,68.95,62.23,68.09,1178400,CFLT
2021-09-29,58.76,64.0,58.53,63.7,1459400,CFLT
2021-09-30,59.65,61.45,58.9,59.25,1104800,CFLT
2021-10-01,63.56,64.73,59.0,59.85,844700,CFLT
2021-10-04,59.07,63.17,58.5,63.17,892100,CFLT
2021-10-05,59.14,61.64,58.77,59.71,423600,CFLT
2021-10-06,62.9,63.66,58.14,58.17,967600,CFLT
2021-10-07,67.18,67.74,62.34,64.02,1507600,CFLT
2021-10-08,64.59,67.19,64.1,67.09,603500,CFLT
2021-10-11,60.36,65.33,59.66,64.0,879100,CFLT
2021-10-12,63.72,65.18,61.36,61.36,819700,CFLT
2021-10-13,66.5,67.7,64.13,64.45,1056200,CFLT
2021-10-14,67.45,70.7,66.9,68.0,805600,CFLT
2021-10-15,66.9,69.58,65.93,68.8,898700,CFLT
2021-10-18,65.53,67.84,64.8,67.44,671100,CFLT
2021-10-19,66.66,69.5,65.62,65.87,935500,CFLT
2021-10-20,66.66,67.31,63.31,66.74,853700,CFLT
