Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,165.25,165.33,161.88,162.21,5189300,CRM
2020-01-03,164.44,165.03,163.28,163.34,3205400,CRM
2020-01-06,171.64,171.86,162.74,163.28,8836200,CRM
2020-01-07,174.17,175.03,170.3,171.43,8272700,CRM
2020-01-08,175.48,176.99,172.93,173.41,7225100,CRM
2020-01-09,177.73,178.03,175.44,176.98,5952900,CRM
2020-01-10,178.32,178.8,176.83,177.97,5111800,CRM
2020-01-13,181.94,182.53,179.24,179.37,6202600,CRM
2020-01-14,180.22,181.94,180.15,181.59,4342300,CRM
2020-01-15,179.18,181.18,178.74,179.79,3886600,CRM
2020-01-16,180.79,181.2,179.08,180.33,3485300,CRM
2020-01-17,180.33,181.43,179.47,181.32,4577000,CRM
2020-01-21,183.34,184.06,179.61,179.62,6302400,CRM
2020-01-22,180.85,184.5,180.79,183.46,4781800,CRM
2020-01-23,182.06,182.38,179.41,181.3,4369000,CRM
2020-01-24,180.21,184.19,179.24,183.07,4653600,CRM
2020-01-27,178.83,179.84,175.45,176.91,4239400,CRM
2020-01-28,180.95,181.95,178.47,179.25,3445300,CRM
2020-01-29,179.88,182.18,179.73,182.08,2785500,CRM
2020-01-30,183.74,184.0,178.66,179.02,3715700,CRM
2020-01-31,180.41,184.09,178.91,182.94,4193300,CRM
2020-02-03,183.49,183.94,179.96,181.35,4755200,CRM
2020-02-04,186.38,187.72,184.71,186.04,3983200,CRM
2020-02-05,183.56,188.57,180.96,188.42,6162700,CRM
2020-02-06,184.79,185.61,182.32,184.89,4102700,CRM
2020-02-07,183.79,186.69,183.72,184.9,3713100,CRM
2020-02-10,187.15,187.3,183.63,184.23,3873500,CRM
2020-02-11,187.14,190.6,186.69,189.49,4299200,CRM
2020-02-12,187.49,188.54,184.83,187.74,4535400,CRM
2020-02-13,186.68,189.06,186.46,186.54,3132100,CRM
2020-02-14,187.97,188.27,186.14,187.38,3599400,CRM
2020-02-18,189.1,189.51,186.95,188.96,4957000,CRM
2020-02-19,190.86,191.9,189.8,190.0,3903200,CRM
2020-02-20,191.35,193.68,187.79,191.98,5451200,CRM
2020-02-21,187.53,190.04,184.78,189.84,5242100,CRM
2020-02-24,184.0,185.2,176.93,176.93,8463300,CRM
2020-02-25,179.38,188.0,177.56,186.51,11361100,CRM
2020-02-26,177.01,180.77,172.44,174.7,13923100,CRM
2020-02-27,170.36,176.47,168.28,170.42,9927300,CRM
2020-02-28,168.63,169.98,161.42,163.27,12640800,CRM
2020-03-02,174.92,174.95,166.84,170.41,7761000,CRM
2020-03-03,167.61,176.56,165.35,176.55,8323500,CRM
2020-03-04,173.86,173.98,167.86,170.46,5846300,CRM
2020-03-05,167.83,171.94,166.35,170.77,5797500,CRM
2020-03-06,162.37,165.83,156.89,163.95,9757700,CRM
2020-03-09,149.64,156.07,149.07,150.12,9657100,CRM
2020-03-10,159.66,159.79,149.43,155.59,11443900,CRM
2020-03-11,152.96,157.96,148.59,156.04,10341300,CRM
2020-03-12,139.13,149.66,138.64,142.84,13213000,CRM
2020-03-13,146.24,147.94,133.91,147.91,13765400,CRM
2020-03-16,123.01,140.08,122.11,132.62,13845300,CRM
2020-03-17,134.01,136.57,121.64,125.68,12191500,CRM
2020-03-18,130.86,132.03,114.09,124.23,12988200,CRM
2020-03-19,138.01,142.5,127.52,130.22,10444000,CRM
2020-03-20,137.9,144.68,133.2,138.96,12450100,CRM
2020-03-23,139.06,142.22,132.69,137.32,11898300,CRM
2020-03-24,152.04,152.54,141.69,143.12,11834400,CRM
2020-03-25,145.53,156.38,145.43,151.08,10639300,CRM
2020-03-26,153.12,153.47,146.19,146.76,8573100,CRM
2020-03-27,144.48,149.87,143.4,149.06,8273500,CRM
2020-03-30,148.29,151.41,145.03,146.18,7650400,CRM
2020-03-31,142.48,150.37,141.29,147.48,10429700,CRM
2020-04-01,132.66,137.61,131.71,136.88,8737600,CRM
2020-04-02,132.92,133.98,128.69,132.61,8150500,CRM
2020-04-03,132.91,134.77,130.29,133.05,6004400,CRM
2020-04-06,146.01,148.29,136.86,137.55,12296800,CRM
2020-04-07,143.56,149.23,143.01,148.77,7859500,CRM
2020-04-08,149.55,150.58,143.49,144.78,7665500,CRM
2020-04-09,152.94,154.48,150.1,150.8,7094600,CRM
2020-04-13,150.91,153.69,148.44,152.52,5138600,CRM
2020-04-14,156.07,157.14,153.53,154.09,7334300,CRM
2020-04-15,154.01,155.63,152.4,153.47,4042600,CRM
2020-04-16,155.43,156.36,152.64,155.37,4391500,CRM
2020-04-17,160.93,161.56,155.99,158.33,7312900,CRM
2020-04-20,161.07,162.6,158.85,159.08,4686000,CRM
2020-04-21,148.99,158.42,146.46,158.33,13737900,CRM
2020-04-22,152.54,154.08,149.1,152.4,6660900,CRM
2020-04-23,150.14,154.84,149.92,151.9,6281400,CRM
2020-04-24,152.38,152.89,149.73,151.99,6710500,CRM
2020-04-27,155.99,156.79,152.59,153.92,5036400,CRM
2020-04-28,152.85,159.14,152.58,157.84,4731800,CRM
2020-04-29,158.76,160.2,154.89,156.24,5256700,CRM
2020-04-30,160.26,163.58,158.34,159.95,6830700,CRM
2020-05-01,154.74,158.5,153.64,156.84,4276900,CRM
2020-05-04,159.79,160.33,153.47,153.96,5974200,CRM
2020-05-05,161.55,162.43,158.58,160.84,5264800,CRM
2020-05-06,161.97,163.99,161.22,162.73,4112600,CRM
2020-05-07,168.13,169.49,164.29,164.77,6460900,CRM
2020-05-08,174.07,174.25,169.37,171.15,5403400,CRM
2020-05-11,180.77,181.39,172.35,173.73,8696000,CRM
2020-05-12,175.69,181.11,175.17,181.1,5904600,CRM
2020-05-13,167.87,173.39,164.54,173.35,12534900,CRM
2020-05-14,165.26,166.82,162.86,166.69,7442300,CRM
2020-05-15,169.55,169.93,164.45,165.53,5673800,CRM
2020-05-18,170.7,175.16,170.34,172.19,6398300,CRM
2020-05-19,174.21,176.34,170.95,170.95,5264000,CRM
2020-05-20,175.09,177.28,173.08,176.71,4951200,CRM
2020-05-21,173.44,176.43,173.11,175.09,4429700,CRM
2020-05-22,176.0,176.78,173.62,174.76,4965100,CRM
2020-05-26,174.68,180.11,174.39,180.11,8353600,CRM
2020-05-27,174.76,174.77,169.59,174.45,6340200,CRM
2020-05-28,179.21,182.88,175.26,178.13,10275200,CRM
2020-05-29,172.97,173.18,168.91,172.49,19588900,CRM
2020-06-01,174.52,175.67,170.88,171.3,5711600,CRM
2020-06-02,172.42,173.08,169.44,173.03,8571800,CRM
2020-06-03,173.17,174.1,171.04,173.01,6004000,CRM
2020-06-04,169.66,173.6,168.23,173.18,7301600,CRM
2020-06-05,172.07,172.38,165.26,168.34,8232200,CRM
2020-06-08,174.71,174.73,170.86,171.82,4592600,CRM
2020-06-09,172.74,174.17,171.72,174.17,4025600,CRM
2020-06-10,180.2,180.6,174.22,174.42,8127200,CRM
