Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,67.86,67.9,66.58,66.58,28132000,GOOG
2020-01-03,67.53,68.11,66.78,66.89,23728000,GOOG
2020-01-06,69.19,69.31,67.0,67.0,34646000,GOOG
2020-01-07,69.15,69.63,69.0,69.38,30054000,GOOG
2020-01-08,69.69,70.05,69.02,69.09,30560000,GOOG
2020-01-09,70.46,70.84,69.99,70.5,30018000,GOOG
2020-01-10,70.95,71.21,70.39,70.85,36414000,GOOG
2020-01-13,71.43,71.49,70.77,71.27,33046000,GOOG
2020-01-14,71.01,71.55,70.89,71.41,31178000,GOOG
2020-01-15,71.42,71.53,70.98,70.98,25654000,GOOG
2020-01-16,72.04,72.06,71.51,71.83,23474000,GOOG
2020-01-17,73.47,73.51,72.37,72.6,47924000,GOOG
2020-01-21,73.67,74.04,73.01,73.41,40734000,GOOG
2020-01-22,73.74,74.6,73.69,74.0,32216000,GOOG
2020-01-23,73.78,74.22,73.55,73.83,27024000,GOOG
2020-01-24,72.79,74.22,72.72,74.12,35692000,GOOG
2020-01-27,71.16,71.37,70.53,71.02,35104000,GOOG
2020-01-28,72.09,72.26,71.09,71.61,31548000,GOOG
2020-01-29,72.39,72.73,71.8,72.4,21554000,GOOG
2020-01-30,72.25,72.32,71.29,71.46,26788000,GOOG
2020-01-31,71.18,72.96,70.89,72.9,48344000,GOOG
2020-02-03,73.74,73.95,72.41,72.56,60736000,GOOG
2020-02-04,71.81,72.93,70.78,72.31,78660000,GOOG
2020-02-05,71.87,72.65,71.0,72.58,39724000,GOOG
2020-02-06,73.26,73.55,71.94,71.98,33588000,GOOG
2020-02-07,73.41,73.74,72.77,72.82,23446000,GOOG
2020-02-10,74.87,74.91,73.17,73.17,28398000,GOOG
2020-02-11,74.88,75.91,74.72,75.03,26892000,GOOG
2020-02-12,75.35,75.47,74.84,75.16,23352000,GOOG
2020-02-13,75.17,75.79,74.67,75.07,18590000,GOOG
2020-02-14,75.47,75.47,74.81,75.22,23956000,GOOG
2020-02-18,75.42,76.01,75.07,75.19,22414000,GOOG
2020-02-19,75.77,76.04,75.5,75.69,18986000,GOOG
2020-02-20,75.34,75.91,74.78,75.53,21932000,GOOG
2020-02-21,73.7,75.05,73.47,74.84,34634000,GOOG
2020-02-24,70.55,71.31,70.04,70.77,57342000,GOOG
2020-02-25,68.91,71.37,68.61,71.12,49566000,GOOG
2020-02-26,69.14,70.26,68.44,69.29,44048000,GOOG
2020-02-27,65.41,68.07,65.37,67.6,59566000,GOOG
2020-02-28,66.47,66.56,63.08,63.4,75782000,GOOG
2020-03-02,68.94,69.03,65.85,67.08,48630000,GOOG
2020-03-03,66.57,69.98,66.1,69.45,48046000,GOOG
2020-03-04,68.81,68.89,66.66,67.46,38266000,GOOG
2020-03-05,65.46,67.44,64.77,67.01,51226000,GOOG
2020-03-06,64.44,64.82,62.58,63.38,53212000,GOOG
2020-03-09,60.33,62.27,59.55,59.82,67308000,GOOG
2020-03-10,63.54,63.58,60.48,62.53,52228000,GOOG
2020-03-11,60.32,62.58,59.36,62.02,52170000,GOOG
2020-03-12,55.33,59.25,55.25,55.88,84534000,GOOG
2020-03-13,60.53,60.53,55.44,58.51,74002000,GOOG
2020-03-16,53.81,57.18,53.32,54.39,85048000,GOOG
2020-03-17,55.57,56.12,52.41,54.25,77230000,GOOG
2020-03-18,54.43,54.91,51.48,52.43,84668000,GOOG
2020-03-19,55.35,57.47,52.61,54.25,73022000,GOOG
2020-03-20,53.22,56.77,52.88,56.36,72036000,GOOG
2020-03-23,52.44,53.17,50.3,52.67,80882000,GOOG
2020-03-24,56.3,56.33,54.13,54.78,66890000,GOOG
2020-03-25,54.71,57.02,53.9,55.9,81630000,GOOG
2020-03-26,57.66,58.06,54.27,55.18,71434000,GOOG
2020-03-27,55.12,57.11,54.88,55.86,64170000,GOOG
2020-03-30,56.91,57.15,54.42,55.83,51482000,GOOG
2020-03-31,57.71,58.33,56.48,56.94,49728000,GOOG
2020-04-01,54.87,56.06,54.46,55.68,46884000,GOOG
2020-04-02,55.62,55.92,54.41,54.5,39298000,GOOG
2020-04-03,54.49,55.76,53.59,55.53,46268000,GOOG
2020-04-06,58.9,59.29,56.13,56.48,53294000,GOOG
2020-04-07,58.88,60.79,58.67,60.6,47746000,GOOG
2020-04-08,60.06,60.5,58.97,59.88,39502000,GOOG
2020-04-09,60.12,60.82,59.39,60.75,43508000,GOOG
2020-04-13,60.42,60.57,58.94,60.01,34796000,GOOG
2020-04-14,62.99,63.63,61.39,61.79,49408000,GOOG
2020-04-15,62.65,63.55,61.56,61.82,33434000,GOOG
2020-04-16,62.7,63.47,61.67,63.23,50362000,GOOG
2020-04-17,63.68,64.24,63.09,63.76,38980000,GOOG
