Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,203.18,203.46,199.58,200.3,3736300,GS
2020-01-03,200.81,201.7,199.7,200.82,2274500,GS
2020-01-06,202.86,202.92,198.99,199.38,3329300,GS
2020-01-07,204.2,206.17,203.56,203.77,5255200,GS
2020-01-08,206.17,207.89,204.19,204.36,3564700,GS
2020-01-09,210.36,211.06,207.95,209.27,3980700,GS
2020-01-10,209.94,211.05,209.31,210.49,2248100,GS
2020-01-13,212.63,213.41,210.71,211.96,3359200,GS
2020-01-14,213.02,215.5,212.1,212.72,4302800,GS
2020-01-15,212.63,216.35,207.38,209.84,5411200,GS
2020-01-16,216.54,216.62,213.51,214.19,3968400,GS
2020-01-17,216.31,217.18,215.04,216.98,3108400,GS
2020-01-21,213.05,215.78,212.96,214.36,2492400,GS
2020-01-22,214.22,215.5,213.61,213.84,2030900,GS
2020-01-23,212.95,214.18,210.61,212.01,2806800,GS
2020-01-24,209.77,213.06,208.63,212.5,2877400,GS
2020-01-27,206.5,207.23,203.78,204.96,2506200,GS
2020-01-28,210.35,211.21,206.42,207.67,3123000,GS
2020-01-29,208.21,213.74,207.73,212.03,3711600,GS
2020-01-30,211.69,211.87,205.27,206.1,3261700,GS
2020-01-31,206.16,210.61,205.4,209.83,3482800,GS
2020-02-03,207.25,210.18,206.42,206.69,2733000,GS
2020-02-04,209.79,211.35,209.45,210.61,3052500,GS
2020-02-05,211.84,212.56,210.71,212.43,3126600,GS
2020-02-06,209.69,213.11,209.13,212.75,2225600,GS
2020-02-07,206.37,208.56,205.12,207.89,3006500,GS
2020-02-10,205.82,206.26,204.17,205.85,2591300,GS
2020-02-11,205.04,207.72,204.83,207.24,2238800,GS
2020-02-12,206.94,209.13,206.13,206.38,2119200,GS
2020-02-13,206.68,207.21,205.13,206.24,1461300,GS
2020-02-14,205.58,207.25,204.84,206.32,1718700,GS
2020-02-18,202.22,205.57,200.48,205.12,2736500,GS
2020-02-19,205.79,206.2,202.28,203.77,2207100,GS
2020-02-20,201.8,205.42,200.52,204.99,3183700,GS
2020-02-21,199.97,201.0,198.02,200.23,3081600,GS
2020-02-24,194.7,196.57,192.97,193.57,4139400,GS
2020-02-25,188.69,195.86,187.2,194.91,5343100,GS
2020-02-26,187.11,190.77,186.22,189.64,4171100,GS
2020-02-27,178.36,185.11,178.08,182.52,5848200,GS
2020-02-28,175.16,176.45,169.99,173.69,6727100,GS
2020-03-02,182.75,182.88,172.42,175.71,5285500,GS
2020-03-03,177.48,184.77,176.33,182.34,5677200,GS
2020-03-04,182.11,182.27,176.84,179.58,3520400,GS
2020-03-05,173.43,177.51,171.82,175.64,4151500,GS
2020-03-06,168.25,171.26,165.13,166.35,5071900,GS
2020-03-09,150.76,156.38,148.45,151.43,6443000,GS
2020-03-10,160.83,161.75,151.18,158.45,6803900,GS
2020-03-11,149.96,157.71,149.16,155.71,5314000,GS
2020-03-12,131.46,145.48,130.86,139.59,8357700,GS
2020-03-13,154.57,154.91,132.91,142.05,6368400,GS
2020-03-16,134.93,147.91,130.86,131.06,6888000,GS
2020-03-17,138.43,145.47,130.86,136.97,6876300,GS
2020-03-18,122.16,136.07,118.13,130.86,9543200,GS
2020-03-19,130.42,133.03,114.16,119.85,6548200,GS
2020-03-20,120.75,130.16,120.65,129.98,7561300,GS
2020-03-23,117.75,123.83,116.26,118.67,5472600,GS
2020-03-24,134.0,134.27,125.31,125.91,6647400,GS
2020-03-25,135.34,141.51,126.78,134.88,8587800,GS
2020-03-26,144.64,146.27,134.62,136.42,6762200,GS
2020-03-27,138.14,142.84,136.97,138.78,4186700,GS
2020-03-30,139.26,139.96,133.64,138.3,4152800,GS
2020-03-31,134.87,140.55,134.11,137.96,3588200,GS
2020-04-01,126.75,130.49,126.5,127.46,4689100,GS
2020-04-02,130.8,131.26,123.6,124.77,4446900,GS
2020-04-03,128.18,131.67,126.7,130.16,2801600,GS
2020-04-06,138.04,138.65,134.15,135.63,4689400,GS
