Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,8.97,9.01,8.92,8.98,5688000,INFY
2020-01-03,8.99,9.02,8.94,8.97,6992200,INFY
2020-01-06,8.9,8.93,8.86,8.91,10068900,INFY
2020-01-07,8.8,8.86,8.8,8.82,10589100,INFY
2020-01-08,8.79,8.82,8.71,8.71,13440400,INFY
2020-01-09,9.13,9.16,8.85,8.9,28436900,INFY
2020-01-10,9.28,9.72,9.26,9.67,30794600,INFY
2020-01-13,9.48,9.57,9.41,9.54,13659600,INFY
2020-01-14,9.46,9.5,9.39,9.47,15188300,INFY
2020-01-15,9.46,9.53,9.35,9.44,11884300,INFY
2020-01-16,9.46,9.53,9.42,9.45,8511200,INFY
2020-01-17,9.48,9.52,9.34,9.45,6604300,INFY
2020-01-21,9.46,9.51,9.39,9.39,15790000,INFY
2020-01-22,9.62,9.65,9.52,9.53,22364600,INFY
2020-01-23,9.64,9.69,9.48,9.66,27833700,INFY
2020-01-24,9.61,9.69,9.53,9.65,21191300,INFY
2020-01-27,9.58,9.6,9.44,9.44,13542100,INFY
2020-01-28,9.67,9.71,9.54,9.58,15422800,INFY
2020-01-29,9.64,9.82,9.62,9.74,19730500,INFY
2020-01-30,9.64,9.66,9.56,9.59,10487100,INFY
2020-01-31,9.55,9.59,9.5,9.55,24260300,INFY
2020-02-03,9.53,9.54,9.39,9.48,11681900,INFY
2020-02-04,9.67,9.73,9.63,9.66,7737200,INFY
2020-02-05,9.62,9.7,9.61,9.67,10488300,INFY
2020-02-06,9.55,9.62,9.54,9.56,16312500,INFY
2020-02-07,9.46,9.58,9.45,9.54,8140300,INFY
2020-02-10,9.52,9.55,9.44,9.46,4589700,INFY
2020-02-11,9.54,9.61,9.53,9.56,6526500,INFY
2020-02-12,9.78,9.78,9.64,9.66,9928100,INFY
2020-02-13,9.67,9.81,9.66,9.78,9416900,INFY
2020-02-14,9.6,9.69,9.6,9.66,5420300,INFY
2020-02-18,9.77,9.82,9.71,9.72,8421200,INFY
2020-02-19,9.85,9.88,9.78,9.8,7540600,INFY
2020-02-20,9.9,9.92,9.75,9.78,11640000,INFY
2020-02-21,9.94,9.97,9.85,9.87,10524200,INFY
2020-02-24,9.78,9.84,9.68,9.68,11279100,INFY
2020-02-25,9.6,9.88,9.53,9.76,20686000,INFY
2020-02-26,9.59,9.71,9.54,9.6,16736100,INFY
2020-02-27,9.26,9.51,9.25,9.43,23272000,INFY
2020-02-28,8.78,8.99,8.71,8.87,21543200,INFY
2020-03-02,9.03,9.05,8.74,8.83,16473900,INFY
2020-03-03,8.9,9.19,8.83,9.01,12922700,INFY
2020-03-04,9.12,9.13,8.91,9.02,12536000,INFY
2020-03-05,8.83,9.03,8.78,8.99,12249800,INFY
2020-03-06,8.52,8.75,8.36,8.68,15525700,INFY
2020-03-09,7.91,8.15,7.66,8.03,12921200,INFY
2020-03-10,8.01,8.24,7.85,8.21,21848100,INFY
2020-03-11,7.76,8.0,7.71,7.9,24616200,INFY
2020-03-12,7.02,7.31,6.97,7.23,17213700,INFY
2020-03-13,7.3,7.53,6.97,7.49,35410600,INFY
2020-03-16,6.42,6.86,6.31,6.41,19661600,INFY
2020-03-17,6.86,6.91,6.21,6.45,20011000,INFY
2020-03-18,6.41,6.56,6.17,6.19,25345100,INFY
2020-03-19,6.21,6.41,6.13,6.38,13834300,INFY
2020-03-20,6.05,6.59,5.98,6.54,22880400,INFY
2020-03-23,6.21,6.27,5.89,6.03,26046500,INFY
2020-03-24,6.75,7.02,6.54,6.82,20455100,INFY
2020-03-25,7.14,7.3,6.69,6.76,22259700,INFY
2020-03-26,7.93,7.96,7.34,7.41,29555000,INFY
2020-03-27,7.42,7.7,7.36,7.54,23759500,INFY
2020-03-30,7.4,7.54,7.28,7.33,13054500,INFY
2020-03-31,7.15,7.43,7.1,7.39,20571700,INFY
2020-04-01,6.78,6.99,6.76,6.86,15617300,INFY
2020-04-02,6.89,6.99,6.75,6.8,7323600,INFY
2020-04-03,6.59,6.81,6.5,6.8,15539600,INFY
2020-04-06,7.19,7.22,6.8,6.85,16003400,INFY
2020-04-07,7.3,7.64,7.28,7.56,15033000,INFY
2020-04-08,7.39,7.43,7.14,7.33,13721300,INFY
2020-04-09,7.43,7.56,7.38,7.45,9988000,INFY
2020-04-13,7.41,7.45,7.25,7.41,5684500,INFY
2020-04-14,7.56,7.62,7.39,7.49,7582100,INFY
2020-04-15,7.26,7.37,7.19,7.22,8004400,INFY
2020-04-16,7.16,7.25,7.05,7.23,9811400,INFY
2020-04-17,7.48,7.49,7.31,7.36,14965900,INFY
2020-04-20,7.42,7.61,7.27,7.38,9658400,INFY
2020-04-21,7.19,7.35,7.06,7.06,9776700,INFY
2020-04-22,7.45,7.49,7.27,7.3,9961600,INFY
2020-04-23,7.66,7.83,7.63,7.75,11386000,INFY
2020-04-24,7.63,7.68,7.49,7.61,7976800,INFY
2020-04-27,7.78,7.8,7.66,7.74,5505300,INFY
2020-04-28,7.66,7.78,7.57,7.76,9793600,INFY
2020-04-29,8.27,8.28,7.84,7.85,20772500,INFY
2020-04-30,8.04,8.29,7.93,8.24,13033600,INFY
2020-05-01,7.9,7.95,7.81,7.91,5863600,INFY
2020-05-04,7.78,7.83,7.67,7.83,8592000,INFY
2020-05-05,7.77,7.97,7.75,7.94,5337700,INFY
2020-05-06,7.72,7.79,7.62,7.76,5179400,INFY
2020-05-07,7.88,7.89,7.77,7.83,7759400,INFY
2020-05-08,7.99,8.0,7.83,7.91,8072000,INFY
2020-05-11,7.84,7.97,7.76,7.97,6883800,INFY
2020-05-12,7.97,8.18,7.91,7.99,14818900,INFY
2020-05-13,7.45,7.97,7.42,7.96,25972500,INFY
2020-05-14,7.56,7.57,7.29,7.37,14592500,INFY
2020-05-15,7.58,7.6,7.44,7.45,6360300,INFY
2020-05-18,7.81,7.87,7.71,7.73,9250200,INFY
2020-05-19,7.66,7.83,7.64,7.81,12363000,INFY
2020-05-20,7.84,7.88,7.71,7.75,10458500,INFY
2020-05-21,7.78,7.86,7.73,7.81,11336400,INFY
2020-05-22,7.89,7.9,7.83,7.9,5827800,INFY
2020-05-26,7.9,8.02,7.77,7.99,8686400,INFY
2020-05-27,8.15,8.18,8.01,8.02,10198100,INFY
2020-05-28,8.01,8.2,7.99,8.17,12831000,INFY
2020-05-29,8.04,8.08,7.94,7.99,7768600,INFY
2020-06-01,8.18,8.21,8.09,8.09,3269200,INFY
2020-06-02,8.29,8.32,8.21,8.25,6388700,INFY
2020-06-03,8.19,8.36,8.16,8.33,13863000,INFY
2020-06-04,8.19,8.3,8.11,8.17,15375600,INFY
2020-06-05,8.29,8.44,8.27,8.3,8806000,INFY
2020-06-08,8.45,8.47,8.32,8.37,11967900,INFY
