Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,53.67,53.78,53.12,53.14,18056000,INTC
2020-01-03,53.01,53.54,52.76,52.76,15293900,INTC
2020-01-06,52.86,53.1,52.33,52.56,17755200,INTC
2020-01-07,51.98,52.75,51.95,52.73,21876100,INTC
2020-01-08,52.02,52.33,51.62,51.95,23133500,INTC
2020-01-09,52.31,52.49,51.89,52.09,18813300,INTC
2020-01-10,51.99,53.0,51.93,52.55,15200600,INTC
2020-01-13,52.56,52.73,52.11,52.19,16453300,INTC
2020-01-14,52.42,52.7,52.21,52.48,17051200,INTC
2020-01-15,51.99,52.62,51.82,52.31,18498800,INTC
2020-01-16,52.63,52.78,52.11,52.27,21365500,INTC
2020-01-17,52.57,52.93,52.26,52.91,21803400,INTC
2020-01-21,53.41,54.03,52.74,52.76,28358500,INTC
2020-01-22,55.33,55.44,53.78,53.84,29475100,INTC
2020-01-23,55.85,56.2,55.4,55.45,42778700,INTC
2020-01-24,60.4,61.12,58.62,58.72,84711000,INTC
2020-01-27,57.94,59.47,57.87,58.85,30764000,INTC
2020-01-28,59.37,59.61,58.17,58.66,30915400,INTC
2020-01-29,58.51,60.04,58.37,59.66,18055800,INTC
2020-01-30,58.63,58.66,57.27,57.9,18522400,INTC
2020-01-31,56.39,58.2,56.16,58.04,25268400,INTC
2020-02-03,56.82,57.37,56.72,56.86,16646600,INTC
2020-02-04,57.74,58.27,57.27,58.02,20970800,INTC
2020-02-05,59.4,59.63,58.33,58.83,23401400,INTC
2020-02-06,59.47,59.75,59.19,59.66,17408000,INTC
2020-02-07,58.52,59.66,58.51,59.27,18134600,INTC
2020-02-10,58.85,58.86,58.01,58.11,22299300,INTC
2020-02-11,59.75,60.02,59.01,59.24,17975600,INTC
2020-02-12,59.8,60.36,59.67,59.92,15586600,INTC
2020-02-13,59.78,59.97,59.16,59.38,11602700,INTC
2020-02-14,59.63,60.15,59.23,59.85,13405500,INTC
2020-02-18,58.63,59.12,58.4,59.09,12758400,INTC
2020-02-19,59.49,59.57,58.66,58.85,13551200,INTC
2020-02-20,58.02,59.65,57.23,59.43,26452600,INTC
2020-02-21,57.03,57.84,56.77,57.78,20775900,INTC
2020-02-24,54.75,55.64,54.36,54.61,26903100,INTC
2020-02-25,52.95,55.21,52.71,54.95,34495700,INTC
2020-02-26,52.88,53.91,52.54,53.28,26190100,INTC
2020-02-27,49.49,51.87,49.46,51.35,42226900,INTC
2020-02-28,49.21,49.98,47.51,48.13,60721700,INTC
2020-03-02,51.57,51.61,48.33,49.45,43140300,INTC
2020-03-03,49.61,52.32,49.11,51.44,49740300,INTC
2020-03-04,52.02,52.04,49.78,50.54,29223100,INTC
2020-03-05,50.49,52.0,50.18,50.58,29099200,INTC
2020-03-06,49.44,49.65,48.35,48.91,36259200,INTC
2020-03-09,45.08,46.72,44.32,46.02,56197000,INTC
2020-03-10,47.85,47.87,44.7,46.77,36569000,INTC
2020-03-11,45.79,47.46,45.22,46.44,38563500,INTC
2020-03-12,40.37,44.4,40.22,42.54,50661700,INTC
2020-03-13,48.25,48.75,42.32,42.78,48805100,INTC
2020-03-16,39.54,46.32,38.68,42.11,53878900,INTC
2020-03-17,44.39,45.77,40.07,40.56,52085200,INTC
2020-03-18,42.2,44.37,40.07,41.41,49309900,INTC
2020-03-19,40.72,43.64,40.03,42.41,44538000,INTC
2020-03-20,40.63,43.81,40.31,41.23,52344000,INTC
