Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,119.57,119.58,118.02,118.47,10803700,JPM
2020-01-03,118.0,118.75,116.92,117.28,10386800,JPM
2020-01-06,117.9,117.94,116.43,116.48,10259000,JPM
2020-01-07,115.9,117.59,115.85,117.09,10531300,JPM
2020-01-08,116.8,117.35,115.66,115.74,9695300,JPM
2020-01-09,117.23,117.9,116.89,117.75,9469000,JPM
2020-01-10,116.06,117.07,115.84,117.03,10190900,JPM
2020-01-13,117.02,117.02,115.79,116.16,12355200,JPM
2020-01-14,118.39,120.06,117.44,117.65,24906000,JPM
2020-01-15,116.61,118.22,116.13,117.58,16293400,JPM
2020-01-16,117.07,117.62,116.72,117.24,10783800,JPM
2020-01-17,117.88,117.95,117.13,117.31,14697700,JPM
2020-01-21,116.72,117.77,116.59,117.01,8474200,JPM
2020-01-22,116.58,117.19,116.32,117.06,7549100,JPM
2020-01-23,116.46,116.63,114.91,115.75,9345700,JPM
2020-01-24,113.57,116.37,112.86,116.32,15166400,JPM
2020-01-27,112.61,113.39,110.63,111.11,12860500,JPM
2020-01-28,114.66,115.12,113.0,113.3,13062800,JPM
2020-01-29,114.49,115.61,114.03,114.98,9326000,JPM
2020-01-30,115.91,116.11,113.18,113.18,9048900,JPM
2020-01-31,112.89,115.0,112.14,114.71,12785200,JPM
2020-02-03,113.76,114.5,113.15,113.15,10021100,JPM
2020-02-04,115.39,116.51,115.21,115.62,9157100,JPM
2020-02-05,117.36,117.48,116.01,116.49,10150700,JPM
2020-02-06,117.37,117.95,116.95,117.91,8992300,JPM
2020-02-07,117.0,117.42,116.26,116.62,6379800,JPM
2020-02-10,117.48,117.58,116.64,116.81,5960700,JPM
2020-02-11,117.71,118.4,117.52,117.93,6578600,JPM
2020-02-12,117.71,118.81,117.53,118.22,7958000,JPM
2020-02-13,117.6,118.0,116.34,117.49,7447500,JPM
2020-02-14,117.24,117.87,116.8,117.57,6627600,JPM
2020-02-18,115.69,117.46,115.19,117.14,8996400,JPM
2020-02-19,117.27,118.04,116.29,116.78,7071200,JPM
2020-02-20,117.27,118.01,116.45,117.0,7422800,JPM
2020-02-21,115.84,116.78,115.08,116.47,9772800,JPM
2020-02-24,112.72,113.61,111.56,112.11,13618400,JPM
2020-02-25,107.69,112.78,107.12,111.73,20797200,JPM
2020-02-26,108.02,109.99,107.76,108.26,24825600,JPM
2020-02-27,103.52,107.15,103.46,104.83,23005500,JPM
2020-02-28,99.03,101.06,96.09,100.24,45931400,JPM
2020-03-02,103.65,103.7,97.63,99.48,27355400,JPM
2020-03-03,99.76,104.87,99.15,103.18,32547700,JPM
2020-03-04,102.22,102.51,97.83,100.93,25795900,JPM
2020-03-05,97.21,99.31,96.02,98.66,25025600,JPM
2020-03-06,92.19,94.1,89.58,90.63,38159400,JPM
2020-03-09,79.7,84.64,79.32,82.37,40352000,JPM
2020-03-10,85.89,86.39,80.67,84.44,31102700,JPM
2020-03-11,81.85,85.34,80.65,83.33,38127000,JPM
2020-03-12,75.1,82.7,73.63,76.41,49725200,JPM
2020-03-13,88.63,88.7,78.47,81.87,38543300,JPM
2020-03-16,75.37,80.16,72.12,72.67,38589700,JPM
2020-03-17,79.97,83.11,74.63,77.52,35239800,JPM
2020-03-18,71.55,77.44,68.54,74.78,41525600,JPM
2020-03-19,72.76,75.15,65.6,69.57,32175100,JPM
2020-03-20,71.22,76.3,70.35,73.61,30150800,JPM
2020-03-23,67.41,71.43,66.61,70.52,32536600,JPM
2020-03-24,75.43,76.85,70.71,72.41,34363200,JPM
2020-03-25,78.24,81.16,72.11,76.12,38111700,JPM
2020-03-26,83.69,84.07,79.78,80.24,29826300,JPM
2020-03-27,77.73,80.89,77.23,79.49,30041500,JPM
2020-03-30,79.75,80.25,76.17,77.32,21656900,JPM
2020-03-31,76.79,80.32,76.2,78.51,23379300,JPM
2020-04-01,71.95,73.83,71.01,72.59,28029600,JPM
2020-04-02,74.64,74.98,70.76,71.23,24018000,JPM
2020-04-03,72.43,75.39,71.33,74.11,21199400,JPM
2020-04-06,77.1,78.42,75.58,76.69,26820800,JPM
2020-04-07,78.11,81.44,77.89,81.4,22563800,JPM
2020-04-08,81.27,81.75,78.04,79.37,22903300,JPM
2020-04-09,88.56,89.96,83.5,83.53,42055900,JPM
2020-04-13,84.62,88.86,83.85,88.86,26911900,JPM
2020-04-14,82.3,87.9,80.7,87.06,46151300,JPM
2020-04-15,78.24,79.31,77.67,78.55,30118600,JPM
2020-04-16,75.26,78.05,75.02,77.76,32449600,JPM
2020-04-17,82.03,82.47,78.39,79.29,30191900,JPM
2020-04-20,79.04,81.62,77.96,79.69,23679400,JPM
2020-04-21,76.74,78.75,76.12,76.37,23035000,JPM
2020-04-22,76.99,79.17,76.86,78.16,16662400,JPM
2020-04-23,77.04,78.67,76.92,77.34,16638800,JPM
2020-04-24,78.17,78.51,76.26,78.11,15809200,JPM
2020-04-27,81.54,82.41,78.89,79.23,22870200,JPM
2020-04-28,82.12,84.77,81.9,84.29,20238900,JPM
2020-04-29,84.34,85.71,83.83,85.39,20462600,JPM
2020-04-30,82.53,83.46,81.48,82.39,19127600,JPM
2020-05-01,80.36,80.79,79.15,80.58,18547700,JPM
2020-05-04,79.41,79.86,78.25,79.3,15725900,JPM
2020-05-05,79.29,81.19,79.2,80.71,18064100,JPM
2020-05-06,77.79,79.94,77.5,79.42,20978000,JPM
2020-05-07,78.6,80.07,78.06,78.72,16771900,JPM
2020-05-08,79.89,81.08,79.38,79.98,20487800,JPM
2020-05-11,77.54,78.52,76.98,78.52,31907600,JPM
2020-05-12,75.0,78.24,74.89,77.69,27962900,JPM
2020-05-13,72.42,74.86,71.87,74.44,35451600,JPM
2020-05-14,75.42,75.93,71.01,71.29,35152500,JPM
2020-05-15,74.03,75.22,73.51,74.85,26099000,JPM
2020-05-18,77.95,78.55,75.74,76.43,30504400,JPM
2020-05-19,76.42,78.6,76.35,77.61,19597300,JPM
2020-05-20,78.71,79.62,77.88,78.17,20552400,JPM
2020-05-21,77.71,79.08,77.28,77.79,14621400,JPM
2020-05-22,77.11,77.87,76.46,77.57,13557900,JPM
2020-05-26,82.58,84.03,79.81,80.05,41233900,JPM
2020-05-27,87.36,88.4,85.15,87.96,39402000,JPM
2020-05-28,86.06,88.72,85.66,88.71,24713900,JPM
