Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,152.51,152.61,150.33,150.76,22622100,MSFT
2020-01-03,150.61,151.87,150.08,150.32,21116200,MSFT
2020-01-06,151.0,151.06,148.6,149.14,20813700,MSFT
2020-01-07,149.62,151.6,149.37,151.27,21634100,MSFT
2020-01-08,152.0,152.68,149.97,150.9,27746500,MSFT
2020-01-09,153.9,154.02,152.89,153.66,21385000,MSFT
2020-01-10,153.19,154.97,153.04,154.59,20725900,MSFT
2020-01-13,155.03,155.06,153.11,153.59,21626500,MSFT
2020-01-14,153.94,155.34,153.55,155.14,23477400,MSFT
2020-01-15,154.94,155.66,154.36,154.4,21417900,MSFT
2020-01-16,157.78,157.84,155.74,156.05,23865400,MSFT
2020-01-17,158.66,159.01,157.07,158.96,34371700,MSFT
2020-01-21,158.09,159.69,158.02,158.26,29517200,MSFT
2020-01-22,157.33,159.03,157.31,158.94,24138800,MSFT
2020-01-23,158.3,158.37,156.92,157.79,19680800,MSFT
2020-01-24,156.7,159.07,156.14,159.05,24918100,MSFT
2020-01-27,154.08,155.13,152.11,153.01,32078100,MSFT
2020-01-28,157.1,157.39,154.83,155.51,24899900,MSFT
2020-01-29,159.55,160.22,157.32,159.36,34754500,MSFT
2020-01-30,164.05,165.26,162.16,165.26,51597500,MSFT
2020-01-31,161.63,163.69,161.01,163.51,36142700,MSFT
2020-02-03,165.57,165.68,161.79,161.82,30107000,MSFT
2020-02-04,171.02,171.51,167.4,168.19,36433300,MSFT
2020-02-05,170.81,174.89,169.4,174.73,39186300,MSFT
2020-02-06,174.35,174.53,170.96,171.83,27751400,MSFT
2020-02-07,174.6,176.25,173.26,173.61,33529100,MSFT
2020-02-10,179.17,179.3,173.99,174.31,35844300,MSFT
2020-02-11,175.12,181.07,174.23,181.02,53159900,MSFT
2020-02-12,175.38,176.46,172.66,176.2,47062900,MSFT
2020-02-13,174.43,176.82,173.63,173.83,35295800,MSFT
2020-02-14,175.99,176.04,173.42,173.99,23149500,MSFT
2020-02-18,177.77,178.22,176.13,176.23,27792200,MSFT
2020-02-19,178.3,179.16,177.53,179.05,29997500,MSFT
2020-02-20,175.58,178.28,172.42,177.99,36862400,MSFT
2020-02-21,170.03,174.71,168.76,174.39,48572600,MSFT
2020-02-24,162.7,166.18,155.41,159.73,68311100,MSFT
2020-02-25,160.02,166.46,159.62,165.85,68073300,MSFT
2020-02-26,162.01,164.96,160.15,161.58,56206100,MSFT
2020-02-27,150.6,159.03,150.41,155.49,93174900,MSFT
2020-02-28,154.25,155.86,144.72,145.11,97012700,MSFT
2020-03-02,164.51,164.63,154.53,157.39,71030800,MSFT
2020-03-03,156.63,166.61,154.48,165.47,71677000,MSFT
2020-03-04,162.38,162.52,157.68,160.42,49814400,MSFT
2020-03-05,158.3,162.68,157.75,158.09,47817300,MSFT
2020-03-06,153.83,155.29,148.52,154.82,72821100,MSFT
2020-03-09,143.4,150.19,142.81,143.76,70419300,MSFT
2020-03-10,153.21,153.31,145.27,150.58,65354400,MSFT
2020-03-11,146.27,150.14,143.91,149.6,56371600,MSFT
2020-03-12,132.4,146.11,131.94,138.34,93226400,MSFT
2020-03-13,151.22,154.15,133.99,140.43,92727400,MSFT
2020-03-16,128.93,142.19,128.53,133.29,87905900,MSFT
2020-03-17,139.55,140.43,128.53,133.29,81059800,MSFT
2020-03-18,133.67,139.0,128.55,131.39,81593200,MSFT
2020-03-19,135.87,142.95,132.34,135.93,85922700,MSFT
2020-03-20,130.77,140.05,129.35,139.0,84866200,MSFT
2020-03-23,129.46,133.83,126.17,130.44,78975200,MSFT
2020-03-24,141.23,142.43,134.5,136.86,82516700,MSFT
2020-03-25,139.88,146.93,137.52,141.77,75638200,MSFT
2020-03-26,148.63,149.15,141.26,141.29,64568100,MSFT
2020-03-27,142.53,147.47,142.05,144.48,57042300,MSFT
2020-03-30,152.55,152.9,142.82,145.13,63420300,MSFT
2020-03-31,150.15,156.88,149.06,151.76,77927200,MSFT
2020-04-01,144.82,150.19,143.59,145.67,57969900,MSFT
2020-04-02,147.82,148.03,143.15,144.58,49630700,MSFT
2020-04-03,146.46,149.84,144.9,147.67,41243300,MSFT
2020-04-06,157.35,158.52,150.03,152.64,67111700,MSFT
2020-04-07,155.65,161.85,155.44,161.46,62769000,MSFT
2020-04-08,157.22,158.68,155.66,157.73,48318200,MSFT
2020-04-09,157.23,159.35,155.5,158.39,51385100,MSFT
2020-04-13,157.58,157.64,154.52,156.47,41905300,MSFT
2020-04-14,165.38,165.42,159.95,160.9,52874300,MSFT
2020-04-15,163.64,165.25,161.13,163.0,40940800,MSFT
2020-04-16,168.56,168.78,164.61,165.95,50479600,MSFT
