Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,17.03,17.35,16.8,17.24,706100,NET
2020-01-03,17.17,17.33,16.82,16.96,594400,NET
2020-01-06,17.69,17.95,16.98,17.15,1261700,NET
2020-01-07,17.67,17.85,17.3,17.67,565900,NET
2020-01-08,17.78,18.0,17.5,17.65,543600,NET
2020-01-09,17.02,18.12,17.0,18.12,922000,NET
2020-01-10,17.48,17.64,17.1,17.26,653500,NET
2020-01-13,18.36,18.54,17.63,17.7,839100,NET
2020-01-14,18.7,18.85,18.11,18.52,775100,NET
2020-01-15,18.85,19.3,18.7,18.7,1229200,NET
2020-01-16,18.96,19.24,18.64,19.11,700400,NET
2020-01-17,18.6,19.3,18.4,19.14,542700,NET
2020-01-21,18.0,18.9,18.0,18.56,635700,NET
2020-01-22,18.05,18.49,17.98,18.19,526500,NET
2020-01-23,18.17,18.18,17.76,18.05,407100,NET
2020-01-24,17.77,18.68,17.72,18.18,648900,NET
2020-01-27,17.82,17.86,17.02,17.34,666400,NET
2020-01-28,18.08,18.13,17.63,17.77,481600,NET
2020-01-29,17.59,18.27,17.59,18.19,451800,NET
2020-01-30,18.32,18.37,17.66,17.91,595300,NET
2020-01-31,17.86,18.35,17.74,18.31,537800,NET
2020-02-03,17.69,18.19,17.52,18.0,640300,NET
2020-02-04,17.93,18.4,17.77,17.9,964500,NET
2020-02-05,18.0,18.29,17.65,18.16,1161700,NET
2020-02-06,17.77,18.05,17.72,18.0,545100,NET
2020-02-07,18.17,18.34,17.8,17.88,595400,NET
2020-02-10,18.34,19.2,18.1,18.23,1358500,NET
2020-02-11,18.37,19.23,18.36,18.41,1455900,NET
2020-02-12,17.82,18.6,17.55,18.55,1429900,NET
2020-02-13,18.07,18.21,17.72,17.75,1715500,NET
2020-02-14,17.75,18.7,17.22,18.46,4739900,NET
2020-02-18,17.5,17.92,17.24,17.7,2756500,NET
2020-02-19,18.01,18.23,17.35,17.45,7996700,NET
2020-02-20,20.3,21.35,18.1,18.15,10976200,NET
2020-02-21,21.02,21.35,20.3,20.3,3427200,NET
2020-02-24,19.81,20.48,19.27,19.75,2941200,NET
2020-02-25,20.29,20.44,19.0,19.91,4154000,NET
2020-02-26,22.11,22.69,20.02,20.2,7309000,NET
2020-02-27,21.94,22.52,20.51,20.65,5353700,NET
2020-02-28,21.3,21.79,19.83,21.03,3931200,NET
2020-03-02,22.08,22.08,20.38,21.69,3115200,NET
2020-03-03,22.08,22.4,21.0,22.33,2232100,NET
2020-03-04,22.7,23.42,22.09,22.35,3042500,NET
2020-03-05,23.35,25.02,22.1,22.18,4730900,NET
2020-03-06,22.77,23.29,21.3,22.77,3489500,NET
2020-03-09,20.74,22.26,20.4,21.25,2971100,NET
2020-03-10,21.11,21.96,19.53,21.53,2776100,NET
2020-03-11,20.59,21.34,20.0,20.85,1768100,NET
2020-03-12,19.16,19.5,17.8,19.1,2996100,NET
2020-03-13,19.06,20.1,17.6,20.0,2837900,NET
2020-03-16,15.92,17.49,15.05,16.59,3015300,NET
2020-03-17,18.69,18.9,15.87,16.36,3287200,NET
2020-03-18,19.7,20.75,17.41,17.76,3438700,NET
2020-03-19,20.69,23.18,19.44,19.8,2679300,NET
2020-03-20,21.72,22.68,20.52,20.85,2468500,NET
2020-03-23,21.41,22.14,19.53,20.93,2276500,NET
2020-03-24,22.41,22.5,21.21,22.04,2577800,NET
2020-03-25,21.66,23.0,21.23,22.06,2660900,NET
2020-03-26,21.6,22.21,20.83,21.7,2290300,NET
2020-03-27,21.96,22.49,20.41,20.96,2787400,NET
2020-03-30,23.89,24.09,21.21,22.1,3945300,NET
2020-03-31,23.48,26.28,22.81,24.16,5566200,NET
2020-04-01,24.12,25.86,22.18,22.9,3667800,NET
2020-04-02,23.06,23.99,22.18,23.99,2736900,NET
2020-04-03,24.08,24.2,22.67,22.93,1917800,NET
2020-04-06,23.64,24.51,23.0,24.5,2298400,NET
2020-04-07,22.8,24.1,22.4,24.0,1769600,NET
2020-04-08,22.84,23.2,22.5,23.02,2085900,NET
2020-04-09,21.18,23.08,21.18,23.0,3297800,NET
2020-04-13,23.62,23.84,21.31,21.35,4283400,NET
2020-04-14,22.91,24.0,22.54,23.2,3257300,NET
2020-04-15,23.89,23.98,22.51,22.91,2231400,NET
2020-04-16,25.42,25.9,23.9,24.0,3912900,NET
2020-04-17,24.83,25.0,23.63,25.0,5107000,NET
2020-04-20,26.18,27.59,24.84,25.0,6178300,NET
2020-04-21,23.94,26.5,23.02,26.25,5186300,NET
2020-04-22,24.61,25.25,24.0,24.66,3103800,NET
2020-04-23,23.73,25.25,23.62,24.58,2432600,NET
2020-04-24,23.28,24.13,23.24,23.42,3521200,NET
2020-04-27,24.47,24.78,23.55,23.91,2338200,NET
2020-04-28,23.47,24.75,23.0,24.5,7241500,NET
2020-04-29,23.78,23.99,22.5,23.47,6896400,NET
2020-04-30,23.56,24.56,23.35,23.82,2474600,NET
2020-05-01,22.84,23.73,22.35,23.17,1911000,NET
2020-05-04,23.67,23.81,22.53,22.88,2041600,NET
2020-05-05,24.51,24.71,23.82,24.41,2034800,NET
2020-05-06,24.95,25.25,24.26,24.7,2177400,NET
2020-05-07,29.52,29.98,26.17,26.81,10519600,NET
2020-05-08,26.26,27.1,25.03,26.76,12436000,NET
2020-05-11,28.12,28.42,26.38,26.38,5762000,NET
2020-05-12,28.79,30.24,27.64,28.12,10381900,NET
2020-05-13,27.87,28.9,26.82,28.29,7820400,NET
2020-05-14,28.02,28.05,27.2,27.4,3254700,NET
2020-05-15,29.49,30.78,27.82,28.02,9398000,NET
2020-05-18,28.07,29.8,27.7,28.28,4101000,NET
2020-05-19,28.04,29.23,27.9,28.08,2294500,NET
2020-05-20,27.55,28.13,26.52,28.0,5971700,NET
2020-05-21,28.04,28.35,27.17,27.82,4725700,NET
2020-05-22,28.26,28.81,27.51,28.05,3014600,NET
2020-05-26,28.09,28.84,27.51,28.84,6291800,NET
2020-05-27,28.19,28.2,25.85,27.85,6759200,NET
2020-05-28,28.1,28.8,27.92,28.25,2458200,NET
2020-05-29,29.07,29.22,27.94,28.0,4136300,NET
2020-06-01,30.05,30.19,29.01,29.14,2772700,NET
2020-06-02,30.2,30.59,28.93,30.12,3475400,NET
2020-06-03,29.38,30.5,29.28,30.48,3597100,NET
2020-06-04,28.47,29.15,28.13,29.05,3556900,NET
2020-06-05,29.14,29.42,27.29,28.15,2619000,NET
2020-06-08,29.17,29.49,28.34,29.49,2697800,NET
2020-06-09,28.72,29.06,28.14,29.0,3777100,NET
2020-06-10,29.4,29.66,28.52,28.79,4676800,NET
2020-06-11,28.5,29.65,27.92,28.5,3928600,NET
2020-06-12,28.82,29.51,28.1,29.1,2362000,NET
2020-06-15,30.98,31.92,28.81,29.0,12592200,NET
2020-06-16,31.65,31.98,30.31,31.5,6937900,NET
2020-06-17,35.8,36.0,31.8,32.1,16244300,NET
2020-06-18,36.73,37.29,35.41,36.14,9941900,NET
2020-06-19,36.0,38.48,35.72,37.75,14810600,NET
2020-06-22,37.0,37.4,35.82,36.32,5596500,NET
2020-06-23,35.4,37.66,34.82,37.66,10991700,NET
2020-06-24,35.0,36.77,34.05,35.39,5203200,NET
2020-06-25,36.0,36.89,34.61,35.42,6054800,NET
2020-06-26,35.53,37.06,34.82,36.0,12429400,NET
2020-06-29,35.11,35.63,33.23,35.34,4920900,NET
2020-06-30,35.95,36.04,34.83,35.28,6741500,NET
2020-07-01,36.93,37.04,34.99,35.95,4724500,NET
2020-07-02,36.47,37.35,36.28,37.31,4533300,NET
2020-07-06,38.34,39.24,37.07,37.34,6518200,NET
2020-07-07,37.91,38.39,37.18,38.28,5276100,NET
2020-07-08,38.4,38.52,37.86,38.34,4748300,NET
2020-07-09,39.73,40.15,37.66,39.03,6852200,NET
2020-07-10,40.08,42.6,39.41,42.11,9081600,NET
2020-07-13,36.75,41.09,36.12,40.75,10564100,NET
2020-07-14,36.75,37.53,34.46,36.68,8081200,NET
2020-07-15,36.12,36.58,35.12,36.21,4727300,NET
2020-07-16,35.1,35.84,34.55,35.61,3540100,NET
2020-07-17,37.02,37.45,35.35,36.05,5960200,NET
2020-07-20,38.37,38.6,36.82,37.0,5154400,NET
2020-07-21,38.18,39.12,37.81,38.98,3881800,NET
2020-07-22,38.04,39.05,37.81,38.93,2516100,NET
2020-07-23,36.43,38.58,35.92,38.32,3144900,NET
2020-07-24,35.72,36.46,35.0,35.23,3002900,NET
2020-07-27,37.36,37.69,36.16,36.49,2721700,NET
2020-07-28,37.65,38.69,37.58,38.69,4678900,NET
2020-07-29,38.7,39.08,37.82,38.49,2923100,NET
2020-07-30,41.13,41.5,38.36,38.36,5678500,NET
2020-07-31,41.62,42.06,40.21,42.0,5364300,NET
2020-08-03,42.51,42.84,41.86,42.29,6993300,NET
2020-08-04,42.31,43.15,41.28,43.1,4517300,NET
2020-08-05,42.49,42.75,41.56,42.08,3851900,NET
2020-08-06,41.35,42.41,40.0,41.84,8043100,NET
2020-08-07,40.06,45.28,39.62,41.0,12303400,NET
2020-08-10,36.99,39.54,36.04,39.54,14591200,NET
2020-08-11,37.81,38.15,36.04,36.85,7826800,NET
2020-08-12,38.86,40.07,38.03,38.1,9585100,NET
2020-08-13,38.85,39.71,38.21,39.71,4062700,NET
2020-08-14,38.5,39.79,38.17,38.95,3042400,NET
2020-08-17,39.92,39.94,37.69,37.73,7369900,NET
2020-08-18,40.06,40.47,39.46,40.4,4394800,NET
2020-08-19,39.29,40.25,38.26,39.93,3764700,NET
2020-08-20,40.31,40.44,39.12,39.28,3953500,NET
2020-08-21,38.92,40.49,38.9,40.45,3271700,NET
2020-08-24,38.09,38.84,37.23,38.41,5468100,NET
2020-08-25,39.03,39.04,37.31,37.7,3491000,NET
2020-08-26,39.9,40.37,38.96,39.3,4522500,NET
2020-08-27,39.73,40.02,38.6,39.75,3035000,NET
2020-08-28,39.65,40.84,39.63,40.2,3068100,NET
2020-08-31,38.26,39.9,38.17,39.7,4318700,NET
2020-09-01,39.74,40.4,38.94,38.94,4983700,NET
2020-09-02,39.0,40.39,37.85,40.2,6208700,NET
2020-09-03,36.23,37.98,35.54,37.85,8940100,NET
2020-09-04,34.77,36.27,32.81,35.14,7996700,NET
2020-09-08,32.94,34.76,32.69,33.06,6522900,NET
2020-09-09,34.01,34.42,33.21,34.03,4669800,NET
2020-09-10,33.58,35.12,33.36,34.49,3854900,NET
2020-09-11,34.17,34.56,33.72,34.01,6866600,NET
2020-09-14,34.83,35.14,34.15,34.48,4530600,NET
2020-09-15,36.17,36.25,35.07,35.25,6231500,NET
2020-09-16,35.9,36.33,35.47,36.15,5678100,NET
2020-09-17,36.1,36.14,34.53,34.65,4782500,NET
2020-09-18,37.1,37.18,35.64,36.5,11086400,NET
2020-09-21,38.96,38.97,36.5,36.5,5441100,NET
2020-09-22,39.87,39.97,37.56,39.14,4687500,NET
2020-09-23,39.98,40.6,39.4,39.92,5934300,NET
2020-09-24,38.52,39.58,38.11,39.08,4202400,NET
2020-09-25,40.04,40.14,38.26,38.86,2152300,NET
2020-09-28,40.88,41.05,39.52,40.17,3239900,NET
2020-09-29,40.67,41.5,40.47,41.11,2710000,NET
2020-09-30,41.06,41.77,40.16,40.47,2784300,NET
2020-10-01,42.03,42.54,41.44,41.52,4843500,NET
2020-10-02,41.75,42.58,40.5,41.1,3201400,NET
2020-10-05,42.86,43.18,41.81,42.02,3869000,NET
2020-10-06,42.23,43.1,41.66,42.7,5647600,NET
2020-10-07,43.38,43.42,42.6,42.9,3614500,NET
2020-10-08,43.41,44.6,42.97,44.52,3333800,NET
2020-10-09,46.35,46.37,43.51,43.66,5629000,NET
2020-10-12,57.01,57.3,47.0,47.12,27061500,NET
2020-10-13,59.73,60.13,54.82,55.2,15590300,NET
2020-10-14,61.5,61.67,58.18,59.5,10308000,NET
2020-10-15,58.78,60.1,54.85,56.0,17108900,NET
2020-10-16,58.29,61.86,58.0,60.34,7938200,NET
2020-10-19,58.27,60.16,57.83,58.56,5002000,NET
2020-10-20,57.06,58.5,56.92,57.8,3320500,NET
2020-10-21,54.98,58.3,54.64,57.55,4510500,NET
2020-10-22,55.81,56.64,54.21,55.0,3422400,NET
2020-10-23,55.82,56.38,54.96,55.22,3120100,NET
2020-10-26,54.75,56.57,53.65,55.07,4115900,NET
2020-10-27,55.98,57.75,55.33,56.15,3971800,NET
2020-10-28,54.76,55.85,54.04,55.28,2535200,NET
2020-10-29,54.0,55.5,53.46,54.91,2391000,NET
2020-10-30,51.97,53.76,50.54,53.49,4148800,NET
2020-11-02,52.05,53.22,50.95,52.87,2600300,NET
2020-11-03,53.05,53.18,51.6,51.71,2094600,NET
2020-11-04,56.12,57.0,54.3,55.0,3494400,NET
2020-11-05,58.0,58.42,56.26,57.5,4778600,NET
2020-11-06,64.47,71.77,61.7,63.73,16776700,NET
2020-11-09,64.57,66.08,60.52,63.01,8760800,NET
2020-11-10,61.24,64.69,58.34,61.25,6705500,NET
2020-11-11,65.46,66.14,61.9,62.0,5928700,NET
2020-11-12,64.15,65.08,62.74,64.0,8509700,NET
2020-11-13,63.77,64.75,63.06,64.55,3381800,NET
2020-11-16,64.54,64.88,60.0,60.39,4896900,NET
2020-11-17,65.96,66.58,63.02,64.0,8617800,NET
2020-11-18,64.48,66.86,64.03,66.75,4101400,NET
2020-11-19,65.89,66.33,64.3,64.95,4198800,NET
2020-11-20,66.55,68.21,65.5,66.0,6267800,NET
2020-11-23,66.09,67.25,64.59,67.0,4664300,NET
2020-11-24,66.69,68.91,65.11,66.2,4488800,NET
2020-11-25,69.99,70.0,66.72,66.74,5167200,NET
2020-11-27,74.76,74.93,70.96,71.0,5107800,NET
2020-11-30,75.08,76.77,70.1,74.15,17157600,NET
2020-12-01,72.29,76.8,71.17,76.8,5447600,NET
2020-12-02,71.9,71.99,68.83,71.64,3343400,NET
2020-12-03,74.13,75.19,72.33,72.97,3391200,NET
2020-12-04,77.35,77.84,74.04,74.47,4043800,NET
2020-12-07,81.96,82.52,77.31,77.37,4541300,NET
2020-12-08,83.55,84.36,80.9,82.16,4894800,NET
2020-12-09,77.31,82.36,75.73,82.01,6031200,NET
2020-12-10,84.05,86.21,76.37,77.0,8571600,NET
2020-12-11,82.41,83.42,78.81,83.42,5866000,NET
2020-12-14,81.43,84.2,80.97,83.26,4149600,NET
2020-12-15,81.46,83.37,80.42,81.89,5089100,NET
2020-12-16,81.81,82.0,79.68,82.0,4110400,NET
2020-12-17,81.82,82.49,79.61,82.15,4915100,NET
2020-12-18,83.81,84.2,81.05,82.0,9964600,NET
2020-12-21,86.21,87.2,82.96,85.33,6874700,NET
2020-12-22,86.56,88.77,84.44,87.0,5595400,NET
2020-12-23,81.9,86.55,81.25,86.55,4847500,NET
2020-12-24,84.98,87.3,82.63,83.96,2892200,NET
2020-12-28,77.5,86.73,77.49,86.73,7276100,NET
2020-12-29,76.4,80.12,75.94,79.14,6518100,NET
2020-12-30,77.53,78.35,74.51,77.21,5049100,NET
2020-12-31,75.99,77.79,75.04,77.45,3444300,NET
2021-01-04,74.59,77.7,72.22,77.56,4439600,NET
2021-01-05,75.14,75.9,73.01,73.13,2864500,NET
2021-01-06,73.27,75.23,71.01,73.0,4467800,NET
2021-01-07,79.02,79.19,74.31,74.4,6191900,NET
2021-01-08,79.15,81.94,77.55,80.16,4577900,NET
2021-01-11,76.5,79.89,76.21,78.0,3381500,NET
2021-01-12,77.82,78.22,75.69,77.0,2961400,NET
2021-01-13,82.48,82.7,77.98,78.58,5644000,NET
2021-01-14,80.51,84.78,79.72,83.32,4372900,NET
2021-01-15,77.85,82.47,77.19,80.86,3382200,NET
2021-01-19,81.44,81.67,79.16,79.35,3019700,NET
2021-01-20,83.51,84.02,81.17,83.0,3509800,NET
2021-01-21,83.02,84.99,82.02,84.15,2987200,NET
2021-01-22,83.47,83.84,81.81,82.5,2779600,NET
2021-01-25,82.78,87.15,77.6,85.0,5263600,NET
2021-01-26,77.03,82.75,76.91,82.74,4099400,NET
2021-01-27,74.57,77.66,71.5,75.16,5028600,NET
2021-01-28,78.8,79.72,74.35,75.1,3855700,NET
2021-01-29,76.66,78.5,74.79,78.03,3583900,NET
2021-02-01,80.48,80.56,76.55,77.75,2645400,NET
