Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,10.01,10.04,9.96,10.01,1180500,NTDOY
2020-01-03,9.92,9.97,9.82,9.82,506000,NTDOY
2020-01-06,9.79,9.81,9.7,9.76,1162500,NTDOY
2020-01-07,9.71,9.78,9.69,9.76,1096500,NTDOY
2020-01-08,9.8,9.83,9.66,9.7,2783000,NTDOY
2020-01-09,9.78,9.82,9.76,9.82,2596500,NTDOY
2020-01-10,9.77,9.79,9.73,9.79,1036000,NTDOY
2020-01-13,9.8,9.8,9.7,9.7,639000,NTDOY
2020-01-14,9.71,9.71,9.66,9.66,594000,NTDOY
2020-01-15,9.68,9.71,9.67,9.69,436000,NTDOY
2020-01-16,9.65,9.68,9.63,9.68,1199500,NTDOY
2020-01-17,9.61,9.64,9.59,9.64,1492500,NTDOY
2020-01-21,9.67,9.73,9.65,9.68,958500,NTDOY
2020-01-22,9.69,9.73,9.68,9.73,490000,NTDOY
2020-01-23,9.83,9.83,9.73,9.73,526000,NTDOY
2020-01-24,9.82,9.87,9.79,9.8,945000,NTDOY
2020-01-27,9.52,9.56,9.5,9.5,1284000,NTDOY
2020-01-28,9.67,9.68,9.53,9.53,928500,NTDOY
2020-01-29,9.64,9.67,9.62,9.66,752000,NTDOY
2020-01-30,9.35,9.64,9.25,9.61,2372500,NTDOY
2020-01-31,9.07,9.22,9.04,9.22,4826000,NTDOY
2020-02-03,9.05,9.11,9.05,9.11,2226000,NTDOY
2020-02-04,9.17,9.17,9.09,9.11,2166000,NTDOY
2020-02-05,9.16,9.16,9.11,9.11,2425000,NTDOY
2020-02-06,9.15,9.18,9.14,9.14,1834000,NTDOY
2020-02-07,9.09,9.16,9.06,9.06,2522000,NTDOY
2020-02-10,9.16,9.16,9.09,9.09,3653500,NTDOY
2020-02-11,9.24,9.25,9.15,9.15,902500,NTDOY
2020-02-12,9.16,9.16,9.11,9.11,1258000,NTDOY
2020-02-13,9.03,9.09,8.98,9.04,878000,NTDOY
2020-02-14,8.93,8.96,8.91,8.92,2728500,NTDOY
2020-02-18,8.89,8.93,8.87,8.88,1911000,NTDOY
2020-02-19,8.98,9.01,8.95,8.95,1989000,NTDOY
2020-02-20,8.85,8.93,8.79,8.79,874500,NTDOY
