Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,5.97,5.97,5.89,5.94,237536000,NVDA
2020-01-03,5.88,5.92,5.83,5.85,205384000,NVDA
2020-01-06,5.9,5.91,5.76,5.78,262636000,NVDA
2020-01-07,5.97,6.02,5.88,5.93,314856000,NVDA
2020-01-08,5.98,6.02,5.93,5.97,277108000,NVDA
2020-01-09,6.05,6.12,5.99,6.07,255112000,NVDA
2020-01-10,6.08,6.19,6.07,6.16,316296000,NVDA
2020-01-13,6.27,6.3,6.14,6.16,319840000,NVDA
2020-01-14,6.15,6.25,6.14,6.23,359088000,NVDA
2020-01-15,6.11,6.19,6.09,6.17,263104000,NVDA
2020-01-16,6.2,6.2,6.14,6.17,284192000,NVDA
2020-01-17,6.2,6.22,6.16,6.21,253792000,NVDA
2020-01-21,6.17,6.2,6.14,6.17,217916000,NVDA
2020-01-22,6.22,6.31,6.2,6.22,239240000,NVDA
2020-01-23,6.29,6.3,6.18,6.27,244516000,NVDA
2020-01-24,6.23,6.46,6.18,6.41,373512000,NVDA
2020-01-27,5.98,6.03,5.78,5.93,470536000,NVDA
2020-01-28,6.17,6.2,5.99,6.04,310976000,NVDA
2020-01-29,6.11,6.19,6.07,6.16,258848000,NVDA
2020-01-30,6.12,6.13,5.96,6.01,290504000,NVDA
2020-01-31,5.88,6.08,5.84,6.07,370420000,NVDA
2020-02-03,5.98,6.0,5.86,5.87,255564000,NVDA
2020-02-04,6.15,6.17,6.07,6.12,271544000,NVDA
2020-02-05,6.24,6.28,6.16,6.27,208220000,NVDA
2020-02-06,6.33,6.33,6.19,6.28,218284000,NVDA
2020-02-07,6.26,6.31,6.24,6.29,189752000,NVDA
2020-02-10,6.55,6.55,6.28,6.28,529608000,NVDA
2020-02-11,6.67,6.78,6.59,6.65,638556000,NVDA
2020-02-12,6.78,6.79,6.68,6.72,374644000,NVDA
2020-02-13,6.74,6.81,6.7,6.73,528016000,NVDA
2020-02-14,7.21,7.34,7.12,7.15,1041924000,NVDA
2020-02-18,7.38,7.4,7.09,7.11,620164000,NVDA
2020-02-19,7.83,7.85,7.5,7.5,694332000,NVDA
2020-02-20,7.68,7.87,7.38,7.78,810052000,NVDA
2020-02-21,7.32,7.6,7.23,7.57,768180000,NVDA
2020-02-24,6.8,7.02,6.67,6.72,856916000,NVDA
2020-02-25,6.52,6.94,6.42,6.88,1055496000,NVDA
2020-02-26,6.66,6.86,6.52,6.52,747732000,NVDA
2020-02-27,6.29,6.65,6.2,6.35,906416000,NVDA
2020-02-28,6.73,6.79,6.02,6.04,1133252000,NVDA
2020-03-02,6.88,6.91,6.5,6.9,890744000,NVDA
2020-03-03,6.62,7.0,6.54,6.94,652792000,NVDA
2020-03-04,7.09,7.09,6.65,6.73,597408000,NVDA
2020-03-05,6.81,7.05,6.76,6.89,540328000,NVDA
2020-03-06,6.63,6.68,6.43,6.63,515412000,NVDA
2020-03-09,6.11,6.46,5.93,5.97,614160000,NVDA
2020-03-10,6.5,6.5,6.13,6.39,580648000,NVDA
2020-03-11,6.14,6.39,6.04,6.36,499964000,NVDA
2020-03-12,5.39,5.88,5.37,5.61,816540000,NVDA
2020-03-13,6.0,6.0,5.47,5.74,634836000,NVDA
2020-03-16,4.89,5.63,4.83,5.29,726972000,NVDA
2020-03-17,5.41,5.5,4.76,5.0,833632000,NVDA
2020-03-18,5.05,5.23,4.5,4.98,874268000,NVDA
2020-03-19,5.3,5.4,4.82,5.03,765512000,NVDA
2020-03-20,5.12,5.74,5.11,5.45,804636000,NVDA
2020-03-23,5.3,5.39,4.94,5.12,643876000,NVDA
2020-03-24,6.21,6.29,5.68,5.7,1101644000,NVDA
2020-03-25,6.12,6.52,6.07,6.32,793432000,NVDA
2020-03-26,6.41,6.53,6.23,6.32,696108000,NVDA
2020-03-27,6.29,6.55,6.19,6.23,638828000,NVDA
2020-03-30,6.61,6.62,6.32,6.36,602252000,NVDA
2020-03-31,6.56,6.86,6.42,6.65,949960000,NVDA
2020-04-01,6.05,6.51,6.01,6.37,656912000,NVDA
2020-04-02,6.36,6.38,6.03,6.08,675764000,NVDA
2020-04-03,6.07,6.37,5.94,6.32,663212000,NVDA
