Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,49.45,49.46,48.79,48.83,13899600,ORCL
2020-01-03,49.28,49.54,48.53,48.57,11026700,ORCL
2020-01-06,49.53,49.68,48.9,48.91,10982400,ORCL
2020-01-07,49.64,49.8,49.14,49.4,12015400,ORCL
2020-01-08,49.84,50.27,49.44,49.66,11856700,ORCL
2020-01-09,50.07,50.45,49.75,49.95,10671000,ORCL
2020-01-10,50.13,50.32,49.92,50.22,9734800,ORCL
2020-01-13,50.25,50.45,50.05,50.14,10858900,ORCL
2020-01-14,50.53,50.8,50.18,50.2,12627200,ORCL
2020-01-15,50.42,50.8,50.34,50.53,9090800,ORCL
2020-01-16,51.03,51.05,50.57,50.62,9866000,ORCL
2020-01-17,50.76,51.27,50.5,51.22,11166600,ORCL
2020-01-21,50.84,50.97,50.56,50.62,8773000,ORCL
2020-01-22,50.38,51.24,50.27,51.02,6380500,ORCL
2020-01-23,50.62,50.64,49.98,50.1,6583200,ORCL
2020-01-24,49.78,50.82,49.61,50.69,6426000,ORCL
2020-01-27,48.51,49.28,48.46,48.96,8259100,ORCL
2020-01-28,49.22,49.42,48.48,48.67,8620300,ORCL
2020-01-29,48.98,49.66,48.96,49.52,6332500,ORCL
2020-01-30,49.08,49.1,48.13,48.63,7176200,ORCL
2020-01-31,48.29,49.25,48.14,49.11,8884700,ORCL
2020-02-03,48.88,49.17,48.51,48.55,8892500,ORCL
2020-02-04,49.75,50.23,49.49,49.49,9769800,ORCL
2020-02-05,50.4,50.67,50.25,50.33,9612900,ORCL
2020-02-06,50.37,50.96,50.37,50.64,8832000,ORCL
2020-02-07,50.38,50.61,49.89,49.97,7864800,ORCL
2020-02-10,50.63,50.7,50.13,50.38,7198200,ORCL
2020-02-11,50.78,51.14,50.74,50.79,8466600,ORCL
2020-02-12,51.31,51.46,50.87,51.14,7541100,ORCL
2020-02-13,50.92,51.23,50.65,50.92,8480100,ORCL
2020-02-14,51.07,51.41,50.86,50.99,7496800,ORCL
2020-02-18,51.05,51.34,50.73,51.03,7185700,ORCL
2020-02-19,51.04,51.35,51.0,51.18,6819200,ORCL
2020-02-20,51.11,51.44,50.53,51.01,6114600,ORCL
2020-02-21,50.34,50.95,50.12,50.71,9078600,ORCL
2020-02-24,48.47,49.29,48.35,48.89,10992500,ORCL
2020-02-25,46.92,49.0,46.77,48.86,12202600,ORCL
2020-02-26,47.92,48.93,47.18,47.24,16413100,ORCL
2020-02-27,46.75,49.22,46.73,46.85,16161100,ORCL
2020-02-28,45.54,45.93,44.1,45.34,24426000,ORCL
2020-03-02,46.86,46.86,44.81,45.79,17328500,ORCL
2020-03-03,44.98,47.73,44.42,46.61,21830500,ORCL
2020-03-04,46.53,46.58,44.96,45.9,14813700,ORCL
2020-03-05,44.19,45.74,43.96,45.33,15843000,ORCL
2020-03-06,43.61,44.47,42.78,42.88,24581400,ORCL
2020-03-09,42.36,43.8,41.12,41.39,25949300,ORCL
2020-03-10,44.73,45.03,42.5,43.69,27067700,ORCL
2020-03-11,41.17,43.71,40.76,43.1,24139200,ORCL
2020-03-12,36.64,39.96,36.56,37.86,24123800,ORCL
2020-03-13,44.13,44.18,39.98,40.93,28339400,ORCL
2020-03-16,39.33,43.8,37.99,39.14,27493700,ORCL
2020-03-17,43.14,43.93,38.36,40.16,25588900,ORCL
2020-03-18,43.52,44.01,39.18,40.21,29557000,ORCL
2020-03-19,41.5,44.17,41.31,42.78,20159100,ORCL
2020-03-20,42.03,43.0,40.98,41.45,26340800,ORCL
2020-03-23,40.69,42.8,40.41,41.43,23063700,ORCL
2020-03-24,44.05,44.2,41.71,41.74,19323700,ORCL
2020-03-25,42.3,44.87,41.87,43.36,25625800,ORCL
2020-03-26,46.48,46.72,42.53,42.7,22417900,ORCL
2020-03-27,45.88,47.51,44.71,45.2,20025300,ORCL
2020-03-30,46.37,47.5,45.66,46.4,20611900,ORCL
2020-03-31,44.5,47.12,44.19,47.07,15802000,ORCL
2020-04-01,44.85,45.11,42.39,42.86,17918200,ORCL
2020-04-02,45.85,45.93,44.29,44.36,16434400,ORCL
2020-04-03,45.48,46.08,45.07,45.39,13362500,ORCL
2020-04-06,47.41,47.77,46.36,46.4,13845800,ORCL
2020-04-07,46.73,48.18,46.69,48.01,14063000,ORCL
2020-04-08,48.22,48.73,47.07,47.16,15710700,ORCL
2020-04-09,49.2,49.6,48.13,48.33,15521200,ORCL
2020-04-13,49.0,49.16,48.47,48.75,12694800,ORCL
2020-04-14,49.95,50.05,49.45,49.69,11674600,ORCL
2020-04-15,49.18,49.45,48.85,49.22,10398100,ORCL
2020-04-16,49.68,49.83,49.09,49.17,14098300,ORCL
2020-04-17,50.53,50.62,49.93,50.43,13608800,ORCL
2020-04-20,49.87,50.49,49.77,50.0,10358900,ORCL
2020-04-21,47.47,49.34,47.29,49.24,14111700,ORCL
2020-04-22,48.35,48.64,47.89,48.13,9668300,ORCL
2020-04-23,48.08,49.02,47.6,48.32,10330200,ORCL
2020-04-24,49.04,49.08,48.07,48.48,9403500,ORCL
2020-04-27,49.37,49.62,49.08,49.36,9123200,ORCL
2020-04-28,49.21,50.09,49.15,49.86,8350500,ORCL
2020-04-29,49.84,50.21,49.67,49.91,9064100,ORCL
2020-04-30,49.0,49.58,48.84,49.46,11808800,ORCL
2020-05-01,47.91,48.51,47.47,48.46,8702400,ORCL
2020-05-04,47.87,47.91,47.27,47.84,7567900,ORCL
2020-05-05,48.15,48.9,48.09,48.31,7271800,ORCL
2020-05-06,47.97,48.57,47.83,48.5,7050000,ORCL
2020-05-07,48.66,48.95,48.35,48.47,7154700,ORCL
2020-05-08,49.56,49.75,48.82,49.2,8130800,ORCL
2020-05-11,49.52,49.8,49.08,49.15,8138600,ORCL
2020-05-12,48.35,49.8,48.34,49.77,8598800,ORCL
2020-05-13,47.78,48.56,47.44,48.5,10274300,ORCL
2020-05-14,48.95,49.06,47.05,47.31,13794000,ORCL
2020-05-15,48.95,49.94,48.58,48.75,39055700,ORCL
2020-05-18,49.17,49.91,49.09,49.87,9901900,ORCL
2020-05-19,48.42,49.26,48.4,49.2,9805100,ORCL
2020-05-20,48.94,49.28,48.71,49.11,9115900,ORCL
2020-05-21,48.31,48.97,48.21,48.81,7464000,ORCL
2020-05-22,48.68,48.7,48.18,48.42,7211700,ORCL
2020-05-26,48.83,49.66,48.71,49.63,11200600,ORCL
2020-05-27,49.21,49.26,48.63,49.03,9228100,ORCL
2020-05-28,49.6,50.09,49.23,49.73,9465400,ORCL
2020-05-29,49.74,49.9,49.02,49.6,14734800,ORCL
2020-06-01,49.08,49.39,48.83,49.29,7363200,ORCL
2020-06-02,49.29,49.3,48.7,49.25,8756300,ORCL
2020-06-03,49.48,49.6,49.02,49.33,9188700,ORCL
2020-06-04,48.89,49.67,48.69,49.24,9696000,ORCL
2020-06-05,49.94,50.2,48.79,49.11,12210100,ORCL
2020-06-08,50.97,50.99,49.29,49.35,11519500,ORCL
2020-06-09,50.12,50.93,49.84,50.88,8852500,ORCL
2020-06-10,50.06,50.56,49.86,50.42,7436700,ORCL
2020-06-11,47.47,49.55,47.39,49.26,12805700,ORCL
2020-06-12,47.97,49.03,47.16,48.52,11537200,ORCL
2020-06-15,49.26,49.43,47.1,47.14,16038100,ORCL
2020-06-16,50.5,50.88,49.75,50.38,19380200,ORCL
2020-06-17,47.66,49.71,47.64,49.06,28692600,ORCL
2020-06-18,49.67,49.95,47.47,47.73,19259500,ORCL
2020-06-19,50.32,50.38,49.01,50.15,33051200,ORCL
2020-06-22,50.99,51.24,49.84,50.04,16705900,ORCL
2020-06-23,51.05,51.78,51.0,51.16,18695000,ORCL
2020-06-24,50.36,51.51,50.26,50.99,18287400,ORCL
2020-06-25,50.44,50.5,49.53,50.32,16008700,ORCL
2020-06-26,50.12,50.5,49.61,50.28,17969400,ORCL
2020-06-29,50.66,50.84,49.82,50.17,14366900,ORCL
2020-06-30,51.13,51.29,50.42,50.69,18885900,ORCL
2020-07-01,51.33,51.69,50.58,50.59,17856800,ORCL
2020-07-02,51.75,52.2,51.48,51.61,15478900,ORCL
2020-07-06,52.36,52.57,51.95,51.99,15309700,ORCL
2020-07-07,52.09,52.68,52.01,52.13,13232100,ORCL
2020-07-08,52.41,52.43,51.79,52.39,12582200,ORCL
2020-07-09,53.22,53.47,52.56,52.72,15692600,ORCL
2020-07-10,53.09,53.21,52.44,53.16,12615800,ORCL
2020-07-13,52.74,53.51,52.7,53.1,15965600,ORCL
2020-07-14,53.14,53.22,52.47,52.65,15510300,ORCL
2020-07-15,52.6,53.73,52.38,53.34,10570800,ORCL
2020-07-16,51.86,52.48,51.63,52.41,8779300,ORCL
2020-07-17,51.0,52.13,50.87,52.1,14344800,ORCL
2020-07-20,51.47,51.58,50.81,50.98,11469300,ORCL
