Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,1.22,1.23,1.13,1.14,915700,RIOT
2020-01-03,1.18,1.22,1.14,1.22,467200,RIOT
2020-01-06,1.3,1.3,1.2,1.23,981200,RIOT
2020-01-07,1.49,1.5,1.33,1.39,3313600,RIOT
2020-01-08,1.37,1.54,1.29,1.54,1792300,RIOT
2020-01-09,1.33,1.41,1.29,1.37,791100,RIOT
2020-01-10,1.41,1.45,1.29,1.33,1358500,RIOT
2020-01-13,1.36,1.45,1.31,1.45,634900,RIOT
2020-01-14,1.42,1.51,1.41,1.44,1683000,RIOT
2020-01-15,1.4,1.5,1.39,1.5,1247300,RIOT
2020-01-16,1.43,1.45,1.36,1.4,670600,RIOT
2020-01-17,1.46,1.49,1.43,1.45,1102400,RIOT
2020-01-21,1.4,1.49,1.33,1.49,1020500,RIOT
2020-01-22,1.34,1.43,1.31,1.43,865200,RIOT
2020-01-23,1.26,1.33,1.25,1.33,737500,RIOT
2020-01-24,1.26,1.32,1.25,1.3,468000,RIOT
2020-01-27,1.24,1.28,1.2,1.26,891300,RIOT
2020-01-28,1.31,1.32,1.26,1.28,679800,RIOT
2020-01-29,1.31,1.35,1.28,1.33,634000,RIOT
2020-01-30,1.43,1.63,1.34,1.58,7720600,RIOT
2020-01-31,1.35,1.45,1.35,1.45,1400000,RIOT
2020-02-03,1.36,1.42,1.33,1.36,916000,RIOT
2020-02-04,1.38,1.39,1.32,1.36,862600,RIOT
2020-02-05,1.48,1.51,1.4,1.4,2968900,RIOT
2020-02-06,1.43,1.55,1.42,1.53,1962100,RIOT
2020-02-07,1.43,1.46,1.39,1.46,1198700,RIOT
2020-02-10,1.48,1.51,1.39,1.48,1425700,RIOT
2020-02-11,1.68,1.76,1.49,1.5,7345800,RIOT
2020-02-12,1.6,1.86,1.58,1.79,6460000,RIOT
2020-02-13,1.61,1.63,1.51,1.6,1839500,RIOT
2020-02-14,1.64,1.67,1.56,1.61,1579100,RIOT
2020-02-18,1.5,1.56,1.4,1.55,2365200,RIOT
2020-02-19,1.5,1.55,1.42,1.55,1148800,RIOT
2020-02-20,1.42,1.46,1.37,1.42,1890000,RIOT
2020-02-21,1.41,1.44,1.37,1.43,906800,RIOT
2020-02-24,1.33,1.37,1.29,1.3,1274200,RIOT
2020-02-25,1.26,1.35,1.23,1.35,1376300,RIOT
2020-02-26,1.25,1.25,1.18,1.24,1419700,RIOT
2020-02-27,1.23,1.28,1.13,1.2,1555900,RIOT
2020-02-28,1.14,1.19,1.12,1.15,1237100,RIOT
2020-03-02,1.18,1.21,1.13,1.16,810600,RIOT
2020-03-03,1.14,1.19,1.12,1.18,751300,RIOT
2020-03-04,1.16,1.17,1.13,1.16,530700,RIOT
2020-03-05,1.28,1.33,1.22,1.25,2785100,RIOT
2020-03-06,1.27,1.34,1.16,1.29,1437700,RIOT
2020-03-09,1.08,1.12,1.02,1.08,1378500,RIOT
2020-03-10,1.07,1.14,1.04,1.13,776300,RIOT
2020-03-11,1.01,1.08,0.99,1.04,1065500,RIOT
2020-03-12,0.73,0.78,0.53,0.75,1826700,RIOT
2020-03-13,0.72,0.8,0.65,0.78,1138300,RIOT
2020-03-16,0.66,0.7,0.6,0.61,936800,RIOT
2020-03-17,0.75,0.8,0.63,0.7,674700,RIOT
2020-03-18,0.65,0.74,0.51,0.74,1454800,RIOT
2020-03-19,0.7,0.73,0.65,0.7,840100,RIOT
2020-03-20,0.7,0.76,0.69,0.76,592900,RIOT
2020-03-23,0.67,0.73,0.63,0.71,565600,RIOT
2020-03-24,0.8,0.83,0.74,0.74,1173800,RIOT
2020-03-25,0.77,0.84,0.74,0.75,719100,RIOT
2020-03-26,0.82,0.93,0.76,0.82,1238000,RIOT
2020-03-27,0.79,0.83,0.78,0.8,364600,RIOT
2020-03-30,0.79,0.85,0.78,0.81,506900,RIOT
2020-03-31,0.83,0.86,0.79,0.83,354400,RIOT
2020-04-01,0.77,0.85,0.76,0.83,524600,RIOT
2020-04-02,0.78,0.88,0.76,0.8,995800,RIOT
2020-04-03,0.9,0.95,0.85,0.91,1287600,RIOT
2020-04-06,1.1,1.12,0.92,0.95,2570800,RIOT
2020-04-07,1.02,1.19,0.99,1.19,1410400,RIOT
2020-04-08,1.07,1.09,1.0,1.06,673600,RIOT
2020-04-09,1.03,1.09,0.98,1.08,759800,RIOT
2020-04-13,1.01,1.02,0.93,1.01,656500,RIOT
2020-04-14,1.01,1.04,0.98,0.98,1078000,RIOT
2020-04-15,1.13,1.25,1.02,1.05,2518900,RIOT
2020-04-16,1.17,1.21,1.13,1.2,1027800,RIOT
2020-04-17,1.14,1.2,1.11,1.2,720000,RIOT
2020-04-20,1.1,1.18,1.1,1.1,1170200,RIOT
