Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,13.35,13.35,13.2,13.2,4282500,SONY
2020-01-03,13.16,13.27,13.13,13.24,2593000,SONY
2020-01-06,13.36,13.37,13.18,13.19,3777500,SONY
2020-01-07,13.57,13.64,13.49,13.63,6581000,SONY
2020-01-08,13.62,13.74,13.6,13.68,8201000,SONY
2020-01-09,13.73,13.85,13.64,13.8,11886500,SONY
2020-01-10,13.69,13.81,13.67,13.81,5602500,SONY
2020-01-13,13.85,13.86,13.74,13.8,6361500,SONY
2020-01-14,14.01,14.1,13.92,14.1,9704000,SONY
2020-01-15,13.84,13.94,13.81,13.84,5429500,SONY
2020-01-16,14.03,14.05,13.95,13.96,5794500,SONY
2020-01-17,14.01,14.05,13.95,14.05,3902500,SONY
2020-01-21,13.94,14.01,13.94,14.01,4836000,SONY
2020-01-22,13.99,14.05,13.95,14.02,3804000,SONY
2020-01-23,14.03,14.06,13.92,14.06,2898500,SONY
2020-01-24,13.89,14.05,13.81,14.04,3391500,SONY
2020-01-27,13.78,13.86,13.75,13.81,6336500,SONY
2020-01-28,13.92,13.96,13.79,13.86,4063000,SONY
2020-01-29,13.88,13.92,13.85,13.9,3065000,SONY
2020-01-30,13.75,13.78,13.57,13.65,4354500,SONY
2020-01-31,13.56,13.72,13.51,13.72,4787000,SONY
2020-02-03,13.62,13.7,13.58,13.58,9055500,SONY
2020-02-04,14.11,14.27,13.75,13.95,7893500,SONY
2020-02-05,13.63,13.73,13.6,13.66,8995000,SONY
2020-02-06,13.83,13.83,13.72,13.72,3313000,SONY
2020-02-07,13.55,13.77,13.47,13.72,7312000,SONY
2020-02-10,13.56,13.57,13.46,13.55,4646500,SONY
2020-02-11,13.59,13.69,13.56,13.65,4260000,SONY
2020-02-12,13.68,13.68,13.59,13.59,2939500,SONY
2020-02-13,13.45,13.51,13.43,13.51,4551500,SONY
2020-02-14,13.3,13.44,13.23,13.43,7426000,SONY
2020-02-18,12.88,12.97,12.77,12.84,11728500,SONY
2020-02-19,12.96,13.02,12.92,12.94,6174500,SONY
2020-02-20,12.9,12.98,12.76,12.93,6630500,SONY
2020-02-21,12.74,12.95,12.71,12.94,4534500,SONY
2020-02-24,12.36,12.48,12.27,12.37,7069000,SONY
2020-02-25,12.29,12.66,12.2,12.61,11132000,SONY
2020-02-26,12.36,12.53,12.33,12.44,7767000,SONY
2020-02-27,11.77,12.12,11.77,11.96,10030000,SONY
2020-02-28,12.02,12.07,11.47,11.5,13613000,SONY
2020-03-02,12.4,12.42,12.04,12.29,10589500,SONY
2020-03-03,12.21,12.47,12.09,12.32,8572500,SONY
2020-03-04,12.52,12.55,12.29,12.33,6119000,SONY
2020-03-05,12.26,12.37,12.16,12.34,6299500,SONY
2020-03-06,12.2,12.22,12.01,12.14,5828000,SONY
2020-03-09,11.31,11.69,11.21,11.25,6874000,SONY
2020-03-10,11.66,11.82,11.41,11.81,15586500,SONY
2020-03-11,11.17,11.47,11.1,11.39,6749000,SONY
2020-03-12,10.16,10.72,9.95,10.54,10360500,SONY
2020-03-13,10.88,10.95,10.3,10.89,10061500,SONY
2020-03-16,9.99,10.41,9.84,10.05,7294500,SONY
2020-03-17,10.67,10.7,10.18,10.32,8512000,SONY
2020-03-18,10.59,11.23,10.06,10.59,18132500,SONY
2020-03-19,10.71,10.83,10.36,10.6,11914500,SONY
2020-03-20,10.25,11.0,10.21,10.92,8065000,SONY
2020-03-23,10.22,10.51,9.97,10.42,7963000,SONY
2020-03-24,11.02,11.02,10.74,10.88,11409500,SONY
2020-03-25,11.15,11.47,10.88,11.28,6125000,SONY
2020-03-26,11.69,11.69,11.21,11.34,7327000,SONY
2020-03-27,11.51,11.76,11.39,11.56,9717000,SONY
2020-03-30,11.67,11.73,11.47,11.63,6076000,SONY
2020-03-31,11.48,11.74,11.37,11.5,5289500,SONY
2020-04-01,11.03,11.33,10.99,11.24,5554500,SONY
2020-04-02,11.43,11.5,11.23,11.32,5539500,SONY
2020-04-03,11.15,11.35,11.01,11.25,3339000,SONY
2020-04-06,11.81,11.88,11.54,11.61,5984000,SONY
2020-04-07,11.77,12.2,11.73,12.17,6735500,SONY
2020-04-08,12.05,12.1,11.78,11.85,5563000,SONY
2020-04-09,11.95,12.11,11.83,12.07,5696500,SONY
2020-04-13,11.66,11.85,11.54,11.83,7758500,SONY
2020-04-14,11.92,12.04,11.81,11.99,8812500,SONY
2020-04-15,12.04,12.07,11.88,12.07,11036500,SONY
2020-04-16,12.07,12.12,11.95,12.11,13701000,SONY
2020-04-17,12.5,12.5,12.32,12.44,15911500,SONY
2020-04-20,12.33,12.5,12.26,12.34,12184500,SONY
2020-04-21,12.04,12.15,11.91,12.07,11018500,SONY
2020-04-22,12.16,12.22,12.12,12.16,4186500,SONY
2020-04-23,12.04,12.32,12.02,12.3,4927500,SONY
2020-04-24,12.21,12.26,12.08,12.26,5790500,SONY
2020-04-27,12.31,12.39,12.26,12.32,6166500,SONY
2020-04-28,12.21,12.42,12.2,12.39,4860500,SONY
2020-04-29,12.53,12.58,12.38,12.49,5968000,SONY
2020-04-30,12.46,12.5,12.3,12.45,5544500,SONY
2020-05-01,12.17,12.34,12.06,12.27,3126000,SONY
2020-05-04,12.02,12.13,11.9,12.09,3840500,SONY
2020-05-05,12.3,12.36,12.18,12.2,4786000,SONY
2020-05-06,12.41,12.47,12.27,12.4,4568000,SONY
2020-05-07,12.49,12.53,12.4,12.47,4502000,SONY
2020-05-08,12.71,12.78,12.53,12.61,4788500,SONY
2020-05-11,12.8,12.81,12.66,12.76,4584000,SONY
2020-05-12,12.72,12.88,12.72,12.79,5701000,SONY
2020-05-13,12.18,12.43,12.09,12.35,12719000,SONY
2020-05-14,12.35,12.35,12.1,12.21,6649500,SONY
2020-05-15,12.42,12.52,12.31,12.32,6206000,SONY
2020-05-18,12.43,12.5,12.16,12.22,9884500,SONY
2020-05-19,12.23,12.48,12.22,12.47,10592000,SONY
2020-05-20,12.25,12.39,12.23,12.27,10732500,SONY
2020-05-21,12.17,12.3,12.06,12.22,6073000,SONY
2020-05-22,12.27,12.28,12.14,12.26,4243500,SONY
2020-05-26,12.06,12.25,12.06,12.18,7175500,SONY
2020-05-27,12.22,12.23,12.03,12.12,7623000,SONY
2020-05-28,12.53,12.67,12.33,12.33,8034500,SONY
2020-05-29,12.56,12.56,12.35,12.45,5884000,SONY
2020-06-01,12.7,12.74,12.52,12.59,7118000,SONY
2020-06-02,12.95,12.96,12.79,12.8,7103000,SONY
2020-06-03,12.96,13.0,12.8,12.8,13616000,SONY
2020-06-04,12.84,13.08,12.81,13.0,5837000,SONY
2020-06-05,13.06,13.1,12.91,12.92,6372500,SONY
2020-06-08,13.3,13.34,13.06,13.09,6963000,SONY
2020-06-09,13.28,13.35,13.17,13.28,4933500,SONY
2020-06-10,13.68,13.7,13.41,13.58,9316500,SONY
2020-06-11,13.07,13.62,13.02,13.61,13922000,SONY
2020-06-12,13.25,13.55,12.97,13.52,11803500,SONY
2020-06-15,13.53,13.58,13.17,13.26,8200500,SONY
2020-06-16,13.45,13.68,13.35,13.67,5146000,SONY
2020-06-17,13.89,13.92,13.72,13.77,6876500,SONY
2020-06-18,13.88,13.94,13.85,13.9,4600000,SONY
2020-06-19,13.77,13.94,13.72,13.91,7569500,SONY
2020-06-22,13.91,13.93,13.77,13.82,3029500,SONY
2020-06-23,13.9,14.03,13.89,13.93,5948500,SONY
2020-06-24,13.71,13.87,13.64,13.85,3232500,SONY
2020-06-25,13.77,13.8,13.52,13.61,3411500,SONY
2020-06-26,13.52,13.66,13.42,13.63,4766500,SONY
2020-06-29,13.33,13.36,13.22,13.33,4860500,SONY
2020-06-30,13.41,13.43,13.28,13.31,3683500,SONY
2020-07-01,13.65,13.76,13.42,13.42,7748500,SONY
2020-07-02,13.62,13.68,13.57,13.68,5435000,SONY
2020-07-06,13.68,13.74,13.64,13.68,6987500,SONY
2020-07-07,13.42,13.59,13.39,13.54,4540000,SONY
2020-07-08,13.54,13.55,13.38,13.49,2667500,SONY
2020-07-09,13.88,13.9,13.67,13.84,4748000,SONY
2020-07-10,14.34,14.38,14.09,14.16,8334500,SONY
2020-07-13,14.43,14.87,14.39,14.65,9073000,SONY
2020-07-14,14.46,14.47,14.19,14.24,3788000,SONY
2020-07-15,14.9,15.11,14.72,14.76,9926000,SONY
2020-07-16,14.9,14.95,14.77,14.8,4677000,SONY
2020-07-17,14.76,14.83,14.63,14.74,5458500,SONY
2020-07-20,15.17,15.23,14.92,14.97,4375000,SONY
2020-07-21,15.0,15.18,14.97,15.18,3491000,SONY
2020-07-22,15.01,15.05,14.9,14.99,2085000,SONY
2020-07-23,14.82,15.13,14.78,15.03,3040500,SONY
2020-07-24,14.83,14.85,14.62,14.71,2677500,SONY
