Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,107.55,109.97,106.86,109.83,5149800,TGT
2020-01-03,106.44,107.09,105.73,106.35,5018500,TGT
2020-01-06,105.43,106.34,105.12,105.76,4226900,TGT
2020-01-07,105.62,106.16,104.94,104.94,3641600,TGT
2020-01-08,105.28,106.85,105.23,105.83,5731600,TGT
2020-01-09,105.36,106.56,104.65,105.36,5369700,TGT
2020-01-10,106.41,107.24,105.83,106.39,4678000,TGT
2020-01-13,105.68,106.37,104.88,106.29,3632800,TGT
2020-01-14,106.86,107.2,105.31,105.45,3291900,TGT
2020-01-15,99.82,101.86,98.59,100.23,26743400,TGT
2020-01-16,99.24,100.09,98.82,99.94,9361600,TGT
2020-01-17,99.75,100.49,99.11,99.38,7303800,TGT
2020-01-21,97.29,99.53,97.1,99.53,8188000,TGT
2020-01-22,97.17,98.18,97.06,97.38,5070600,TGT
2020-01-23,98.56,98.6,96.49,96.86,4641500,TGT
2020-01-24,97.53,98.96,96.95,98.96,4338900,TGT
2020-01-27,98.78,99.14,96.04,96.36,6779200,TGT
2020-01-28,98.49,99.36,98.48,99.09,3865100,TGT
2020-01-29,97.49,99.03,97.47,98.78,5250600,TGT
2020-01-30,97.83,97.86,96.31,97.06,4466400,TGT
2020-01-31,94.48,97.08,94.16,96.75,6961900,TGT
2020-02-03,95.99,96.75,94.7,94.82,5186000,TGT
2020-02-04,96.62,97.94,96.57,96.95,3626000,TGT
2020-02-05,98.56,98.88,97.13,97.27,3636700,TGT
2020-02-06,98.23,99.29,97.91,98.95,4024800,TGT
2020-02-07,98.63,98.66,97.65,98.13,2970800,TGT
2020-02-10,99.8,100.02,98.62,98.62,3862000,TGT
2020-02-11,99.55,99.94,98.21,99.88,3065100,TGT
2020-02-12,100.76,101.31,99.36,99.53,3764800,TGT
2020-02-13,100.91,101.1,100.17,100.53,2654900,TGT
2020-02-14,99.5,101.06,99.22,100.93,3289100,TGT
2020-02-18,101.1,101.13,99.83,100.34,3122500,TGT
2020-02-19,100.72,101.35,100.43,100.98,2866700,TGT
2020-02-20,101.47,101.49,100.02,100.36,2659300,TGT
2020-02-21,100.39,102.0,100.21,101.1,3856500,TGT
2020-02-24,97.62,99.52,97.06,98.22,5304900,TGT
2020-02-25,95.85,98.8,95.78,97.97,5095900,TGT
2020-02-26,94.94,96.7,94.63,96.25,4318300,TGT
2020-02-27,90.62,93.85,90.55,92.99,6713400,TGT
2020-02-28,88.37,89.4,86.43,87.69,9174100,TGT
2020-03-02,93.57,93.9,88.33,88.7,9691100,TGT
2020-03-03,90.81,96.27,89.2,96.09,10927400,TGT
2020-03-04,92.51,92.72,89.81,91.8,6834800,TGT
2020-03-05,90.92,93.04,90.3,90.64,5294900,TGT
2020-03-06,90.9,91.32,88.16,89.37,5370800,TGT
2020-03-09,89.26,92.39,85.59,85.59,7346600,TGT
2020-03-10,92.95,94.03,89.92,91.15,7461000,TGT
2020-03-11,90.59,92.65,88.73,90.97,6102500,TGT
