Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,121.32,121.41,120.71,121.11,118100,TM
2020-01-03,120.05,120.62,119.66,120.46,174900,TM
2020-01-06,120.06,120.17,118.95,118.95,150200,TM
2020-01-07,120.69,121.48,120.57,121.22,123500,TM
2020-01-08,120.4,120.75,119.92,120.18,117700,TM
2020-01-09,119.84,120.4,119.5,120.4,116200,TM
2020-01-10,119.18,119.54,118.95,119.41,172000,TM
2020-01-13,119.88,119.96,119.17,119.54,114100,TM
2020-01-14,119.72,120.01,119.42,119.76,109400,TM
2020-01-15,118.86,119.25,118.79,119.07,138200,TM
2020-01-16,119.49,119.49,118.87,118.93,104000,TM
2020-01-17,119.44,119.46,118.95,119.13,91100,TM
2020-01-21,121.44,121.93,120.6,120.9,166200,TM
2020-01-22,120.74,121.31,120.45,121.05,170800,TM
2020-01-23,122.02,122.05,121.2,121.5,169400,TM
2020-01-24,121.76,122.61,121.32,122.38,204900,TM
2020-01-27,120.31,120.72,119.99,120.63,186800,TM
2020-01-28,121.61,121.62,120.83,120.83,234500,TM
2020-01-29,120.73,121.61,120.73,121.61,116900,TM
2020-01-30,120.33,120.42,119.18,119.83,111400,TM
2020-01-31,118.42,119.92,118.14,119.45,281600,TM
2020-02-03,118.49,119.3,118.17,118.28,160600,TM
2020-02-04,120.22,120.8,119.86,120.04,208100,TM
2020-02-05,120.87,121.28,120.65,121.28,104100,TM
2020-02-06,122.69,123.15,122.02,122.82,204600,TM
2020-02-07,121.4,122.1,121.33,121.96,98000,TM
2020-02-10,120.5,121.03,120.01,120.2,135800,TM
2020-02-11,121.21,121.4,120.86,121.1,151200,TM
2020-02-12,121.48,121.68,121.07,121.11,99100,TM
2020-02-13,120.34,120.65,120.07,120.26,135900,TM
2020-02-14,119.53,120.25,119.2,119.92,139200,TM
2020-02-18,118.88,119.41,118.2,118.6,275800,TM
2020-02-19,117.56,118.28,117.29,117.38,315200,TM
2020-02-20,118.65,118.9,117.91,118.24,241000,TM
2020-02-21,118.59,119.24,118.25,118.81,150600,TM
2020-02-24,114.71,115.41,114.3,115.24,398800,TM
2020-02-25,114.31,116.22,113.69,116.22,317700,TM
2020-02-26,115.25,116.23,114.82,115.31,316800,TM
2020-02-27,112.07,114.06,111.93,113.57,304700,TM
2020-02-28,111.52,111.56,109.17,109.9,367900,TM
2020-03-02,113.19,113.42,111.0,111.73,264200,TM
2020-03-03,111.69,114.28,110.89,112.97,289000,TM
2020-03-04,112.46,112.57,110.02,110.45,244600,TM
2020-03-05,110.19,110.73,109.85,110.45,401900,TM
2020-03-06,108.41,109.07,107.64,108.68,292200,TM
2020-03-09,104.73,107.2,104.26,104.57,435200,TM
2020-03-10,108.31,108.32,105.11,107.71,462100,TM
2020-03-11,104.73,107.66,104.57,106.75,565500,TM
2020-03-12,95.7,101.31,95.08,101.31,536300,TM
2020-03-13,99.13,100.02,95.18,99.94,448700,TM
2020-03-16,92.54,95.96,92.12,93.82,409400,TM
2020-03-17,101.4,102.1,96.97,98.6,743300,TM
2020-03-18,99.0,101.73,95.56,98.83,579800,TM
2020-03-19,100.84,102.7,99.76,100.74,481000,TM
2020-03-20,99.33,103.93,99.33,102.35,317000,TM
2020-03-23,94.76,97.58,92.63,96.99,487900,TM
2020-03-24,99.24,99.76,95.97,97.26,407400,TM
2020-03-25,103.45,105.08,101.03,103.75,486900,TM
2020-03-26,107.76,107.94,104.07,104.07,377300,TM
2020-03-27,108.52,110.24,106.62,106.7,329700,TM
2020-03-30,108.7,108.76,106.77,108.01,274400,TM
2020-03-31,104.13,106.04,103.78,104.34,356600,TM
2020-04-01,101.31,103.59,101.13,102.43,398100,TM
2020-04-02,102.28,102.54,100.45,100.62,292600,TM
2020-04-03,99.83,100.43,98.94,99.66,337100,TM
2020-04-06,106.26,106.61,103.65,104.17,328200,TM
2020-04-07,105.82,109.09,105.82,109.01,239600,TM
2020-04-08,107.24,107.57,105.69,106.92,238900,TM
2020-04-09,107.13,108.37,106.85,107.82,216300,TM
2020-04-13,105.26,105.73,104.33,105.69,154300,TM
2020-04-14,108.2,108.73,107.38,108.31,297800,TM
2020-04-15,106.77,107.69,106.45,107.69,302200,TM
2020-04-16,105.76,105.99,104.61,105.91,195400,TM
2020-04-17,108.17,108.48,107.23,108.48,180900,TM
2020-04-20,105.65,106.92,105.59,106.5,176700,TM
2020-04-21,104.75,105.89,104.53,105.43,221700,TM
2020-04-22,105.41,106.03,105.13,106.03,181700,TM
2020-04-23,105.63,107.01,105.62,106.23,156100,TM
2020-04-24,106.39,106.59,105.64,106.56,114100,TM
2020-04-27,107.82,108.01,106.99,107.43,160300,TM
2020-04-28,108.94,110.19,108.92,109.58,195700,TM
2020-04-29,110.99,111.8,110.37,110.82,171100,TM
2020-04-30,107.29,108.57,106.75,108.42,265300,TM
2020-05-01,105.14,106.11,105.05,105.59,183200,TM
2020-05-04,104.78,104.99,104.01,104.39,189500,TM
2020-05-05,105.87,106.67,105.71,106.37,124900,TM
2020-05-06,105.54,107.16,105.41,107.16,131400,TM
2020-05-07,105.49,106.08,105.24,105.43,146700,TM
2020-05-08,106.86,107.25,105.87,105.89,216200,TM
2020-05-11,107.31,107.53,106.74,106.97,179100,TM
2020-05-12,104.32,106.25,104.21,105.51,355200,TM
2020-05-13,102.23,104.02,101.57,104.02,340500,TM
2020-05-14,101.52,101.62,99.99,100.7,255300,TM
2020-05-15,101.47,101.87,100.79,100.87,179100,TM
2020-05-18,103.71,103.95,102.52,102.83,236300,TM
2020-05-19,102.62,103.89,102.62,103.55,220600,TM
2020-05-20,104.01,104.46,103.54,104.03,162600,TM
2020-05-21,102.39,103.41,102.02,103.19,132300,TM
2020-05-22,102.05,102.49,101.67,102.42,131800,TM
2020-05-26,107.74,107.95,106.52,106.82,378700,TM
2020-05-27,110.08,110.22,108.37,109.73,330200,TM
2020-05-28,111.43,112.26,111.21,112.15,341700,TM
2020-05-29,109.39,109.6,108.26,109.33,269100,TM
2020-06-01,109.77,110.11,108.29,108.42,233500,TM
2020-06-02,109.79,110.35,109.33,109.72,237900,TM
2020-06-03,111.75,112.2,110.75,111.16,237000,TM
2020-06-04,111.25,112.05,110.69,110.69,196900,TM
2020-06-05,113.81,114.59,112.95,112.95,238900,TM
2020-06-08,114.65,114.7,113.54,114.47,189500,TM
2020-06-09,113.36,113.8,112.52,112.85,195800,TM
2020-06-10,113.73,114.42,113.22,113.85,158400,TM
2020-06-11,108.02,111.02,107.49,110.58,266800,TM
2020-06-12,110.96,111.43,109.8,111.24,241600,TM
2020-06-15,110.59,111.31,108.73,109.53,188000,TM
2020-06-16,112.5,113.95,111.6,113.46,169000,TM
2020-06-17,111.88,112.84,111.84,112.57,157300,TM
2020-06-18,112.09,112.09,111.53,111.88,114200,TM
2020-06-19,110.93,112.06,110.68,111.98,138800,TM
2020-06-22,111.23,111.4,110.4,111.05,124600,TM
2020-06-23,112.06,113.12,111.96,113.0,244800,TM
2020-06-24,110.94,112.35,110.25,112.33,433600,TM
2020-06-25,110.91,110.94,109.39,109.77,192000,TM
2020-06-26,109.52,111.04,109.29,111.04,229700,TM
2020-06-29,110.15,110.25,109.32,109.79,242500,TM
2020-06-30,109.06,109.48,108.4,108.95,222100,TM
2020-07-01,107.76,108.54,107.67,108.3,255100,TM
2020-07-02,109.72,110.71,109.5,110.42,326500,TM
2020-07-06,110.23,110.59,109.66,110.39,285700,TM
2020-07-07,108.48,109.76,108.48,109.39,184200,TM
2020-07-08,108.87,108.94,108.22,108.94,179700,TM
2020-07-09,107.49,108.57,106.69,108.57,168200,TM
2020-07-10,108.48,108.55,107.27,107.6,198700,TM
2020-07-13,108.55,109.95,108.35,109.95,218200,TM
2020-07-14,109.75,109.93,108.64,108.64,191900,TM
2020-07-15,110.53,111.24,110.19,110.96,201500,TM
2020-07-16,109.8,110.47,109.45,110.47,212400,TM
2020-07-17,110.3,110.53,109.85,110.32,137000,TM
2020-07-20,110.49,110.8,110.18,110.4,145600,TM
2020-07-21,109.61,110.54,109.53,110.45,153000,TM
2020-07-22,109.6,109.72,108.94,109.17,104800,TM
2020-07-23,109.26,110.2,109.12,109.35,138800,TM
2020-07-24,108.69,109.51,108.55,108.83,124000,TM
2020-07-27,110.74,111.16,109.92,110.11,149600,TM
2020-07-28,108.91,109.4,108.7,109.38,161800,TM
2020-07-29,107.63,107.82,106.82,107.1,224800,TM
2020-07-30,106.31,106.48,105.22,105.91,186100,TM
2020-07-31,103.6,104.36,103.01,104.17,271900,TM
2020-08-03,104.99,105.15,103.74,103.84,240700,TM
2020-08-04,106.7,107.25,106.1,106.71,162400,TM
2020-08-05,108.35,109.23,108.13,109.09,172600,TM
2020-08-06,111.41,112.42,110.77,111.62,248000,TM
2020-08-07,112.82,112.85,112.16,112.85,214900,TM
2020-08-10,113.35,113.41,112.82,112.85,174000,TM
2020-08-11,116.11,117.34,115.94,117.19,287700,TM
2020-08-12,118.44,118.85,118.2,118.81,251600,TM
2020-08-13,117.75,118.35,117.43,118.28,158100,TM
2020-08-14,116.51,116.75,115.98,116.04,110700,TM
2020-08-17,117.65,117.68,116.82,117.15,158800,TM
2020-08-18,118.13,118.56,117.95,118.25,121200,TM
2020-08-19,117.37,118.49,117.31,118.26,111900,TM
2020-08-20,116.4,116.54,115.98,116.09,118000,TM
2020-08-21,116.18,116.24,115.55,115.65,122600,TM
2020-08-24,116.98,117.58,116.64,116.89,154300,TM
2020-08-25,117.01,117.36,116.44,117.19,126800,TM
2020-08-26,117.1,117.25,116.31,116.67,138300,TM
2020-08-27,115.94,116.52,115.6,116.47,165000,TM
2020-08-28,116.25,116.57,115.95,116.35,100300,TM
2020-08-31,114.96,115.56,114.4,115.56,183300,TM
2020-09-01,114.85,114.99,113.8,114.41,143900,TM
2020-09-02,115.04,115.13,114.21,114.32,123000,TM
2020-09-03,112.81,114.54,112.49,114.26,173300,TM
2020-09-04,115.6,116.11,113.66,115.45,203000,TM
2020-09-08,113.92,114.67,113.37,113.72,227300,TM
2020-09-09,113.83,114.13,113.13,113.13,179900,TM
2020-09-10,113.01,114.02,112.89,113.25,133700,TM
2020-09-11,114.01,114.24,113.32,113.83,155800,TM
2020-09-14,116.12,116.63,115.83,116.24,193000,TM
2020-09-15,116.35,117.0,116.24,116.74,100900,TM
2020-09-16,116.35,116.98,116.33,116.8,125800,TM
2020-09-17,117.19,117.56,115.94,116.15,132400,TM
2020-09-18,116.54,117.46,116.54,116.74,128000,TM
2020-09-21,113.91,114.85,113.03,114.85,306300,TM
2020-09-22,114.8,114.85,113.87,114.07,144600,TM
2020-09-23,115.71,117.33,115.62,116.77,199100,TM
2020-09-24,114.46,115.19,113.64,114.05,199500,TM
2020-09-25,115.43,115.56,114.59,115.11,189300,TM
2020-09-28,118.07,118.33,117.23,117.23,219000,TM
2020-09-29,118.29,119.61,118.24,119.02,136500,TM
2020-09-30,116.7,117.42,116.42,116.88,155900,TM
2020-10-01,116.69,117.04,116.33,116.87,130800,TM
2020-10-02,116.07,116.42,115.32,115.41,98800,TM
2020-10-05,116.4,116.47,115.65,115.85,236200,TM
2020-10-06,115.66,116.87,115.57,116.25,256600,TM
2020-10-07,116.69,116.91,116.32,116.91,115900,TM
2020-10-08,117.15,117.31,116.72,117.13,99300,TM
2020-10-09,116.38,116.63,116.28,116.5,107800,TM
2020-10-12,116.13,116.5,115.98,116.31,144400,TM
2020-10-13,116.88,117.31,116.68,117.05,104600,TM
2020-10-14,115.9,116.28,115.7,115.99,105100,TM
2020-10-15,115.58,115.62,114.88,115.11,123000,TM
2020-10-16,115.11,116.05,115.07,115.12,144400,TM
2020-10-19,115.32,116.12,115.09,116.12,106800,TM
2020-10-20,115.7,116.12,115.13,115.32,138300,TM
2020-10-21,117.31,117.89,117.07,117.19,162900,TM
2020-10-22,117.56,117.68,116.88,117.53,70800,TM
2020-10-23,117.44,117.91,117.01,117.91,59900,TM
2020-10-26,117.06,117.51,116.63,117.3,142000,TM
2020-10-27,116.72,117.23,116.54,117.23,144800,TM
2020-10-28,114.61,115.61,113.91,115.54,229500,TM
2020-10-29,115.74,116.62,114.91,116.25,140600,TM
2020-10-30,115.68,115.89,115.02,115.32,116000,TM
2020-11-02,117.4,117.76,116.89,117.24,146200,TM
2020-11-03,119.72,120.56,118.48,118.48,147600,TM
2020-11-04,118.21,118.87,118.08,118.72,185100,TM
2020-11-05,120.78,121.07,119.44,119.71,155900,TM
2020-11-06,120.89,121.77,119.93,120.45,165100,TM
2020-11-09,123.04,124.87,123.04,123.62,245600,TM
2020-11-10,123.31,124.66,123.04,123.09,217800,TM
2020-11-11,125.54,126.28,125.23,125.75,176000,TM
2020-11-12,123.09,124.53,123.01,124.53,99500,TM
2020-11-13,124.79,124.99,123.48,123.61,136200,TM
2020-11-16,126.98,127.46,126.33,126.35,130200,TM
2020-11-17,125.77,126.43,125.17,125.84,150100,TM
2020-11-18,124.97,126.14,124.48,124.99,228600,TM
2020-11-19,124.17,124.31,123.47,123.98,140000,TM
2020-11-20,125.24,126.04,125.18,125.39,113000,TM
2020-11-23,126.23,126.85,126.2,126.66,238000,TM
2020-11-24,126.74,127.35,126.16,126.8,188300,TM
2020-11-25,124.51,124.72,123.39,124.21,231400,TM
2020-11-27,123.5,124.38,123.39,123.45,77300,TM
2020-11-30,118.48,122.04,118.47,119.76,355200,TM
2020-12-01,119.96,120.24,119.11,119.48,289200,TM
2020-12-02,120.13,120.46,119.63,119.88,197900,TM
2020-12-03,120.58,121.74,120.5,121.39,171500,TM
2020-12-04,121.84,122.35,121.38,121.51,137800,TM
2020-12-07,121.73,122.32,121.33,122.13,150100,TM
2020-12-08,122.25,122.46,121.68,121.88,130700,TM
2020-12-09,124.13,125.56,123.07,124.19,190300,TM
2020-12-10,126.06,126.17,125.03,125.79,319900,TM
2020-12-11,133.05,133.7,131.32,131.84,708800,TM
2020-12-14,135.32,136.49,135.23,135.69,494700,TM
2020-12-15,134.68,135.23,133.84,135.23,285300,TM
2020-12-16,136.66,137.0,134.81,135.84,266100,TM
2020-12-17,136.26,137.72,136.17,137.56,222100,TM
2020-12-18,135.49,135.76,134.67,135.47,327300,TM
2020-12-21,133.73,133.73,131.63,132.52,257100,TM
2020-12-22,132.85,133.71,132.36,133.45,181800,TM
2020-12-23,133.19,133.36,132.35,132.73,317900,TM
2020-12-24,132.58,133.17,132.33,132.33,150200,TM
2020-12-28,134.46,135.18,134.14,134.9,215600,TM
2020-12-29,135.11,136.75,134.73,136.58,265100,TM
2020-12-30,135.77,136.76,135.73,136.14,193500,TM
2020-12-31,136.2,136.44,135.67,136.06,160000,TM
2021-01-04,135.07,137.29,133.95,137.29,315600,TM
2021-01-05,135.17,135.17,133.71,133.85,231800,TM
2021-01-06,135.28,135.84,134.36,134.56,296100,TM
2021-01-07,134.52,134.55,133.5,133.63,345000,TM
