Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,28.68,28.71,28.11,28.3,142981500,TSLA
2020-01-03,29.53,30.27,29.13,29.37,266677500,TSLA
2020-01-06,30.1,30.1,29.33,29.36,151995000,TSLA
2020-01-07,31.27,31.44,30.22,30.76,268231500,TSLA
2020-01-08,32.81,33.23,31.22,31.58,467164500,TSLA
2020-01-09,32.09,33.25,31.52,33.14,426606000,TSLA
2020-01-10,31.88,32.33,31.58,32.12,194392500,TSLA
2020-01-13,34.99,35.04,32.8,32.9,397764000,TSLA
2020-01-14,35.86,36.49,34.99,36.28,434943000,TSLA
2020-01-15,34.57,35.86,34.45,35.32,260532000,TSLA
2020-01-16,34.23,34.3,32.81,32.92,326050500,TSLA
2020-01-17,34.03,34.38,33.54,33.84,204436500,TSLA
2020-01-21,36.48,36.57,35.23,35.35,267052500,TSLA
2020-01-22,37.97,39.63,37.27,38.13,470535000,TSLA
2020-01-23,38.15,38.8,37.04,37.62,294765000,TSLA
2020-01-24,37.65,38.26,36.95,38.04,215304000,TSLA
2020-01-27,37.2,37.63,35.95,36.13,204121500,TSLA
2020-01-28,37.79,38.45,37.21,37.9,176827500,TSLA
2020-01-29,38.73,39.32,37.83,38.38,267022500,TSLA
2020-01-30,42.72,43.39,41.2,42.16,435085500,TSLA
2020-01-31,43.37,43.53,42.17,42.67,235789500,TSLA
2020-02-03,52.0,52.41,44.9,44.91,705975000,TSLA
2020-02-04,59.14,64.6,55.59,58.86,914082000,TSLA
2020-02-05,48.98,56.4,46.94,54.88,726357000,TSLA
2020-02-06,49.93,53.06,45.8,46.66,598212000,TSLA
2020-02-07,49.87,51.32,48.67,48.7,255952500,TSLA
2020-02-10,51.42,54.67,50.16,53.33,370338000,TSLA
2020-02-11,51.63,52.23,50.53,51.25,175462500,TSLA
2020-02-12,51.15,52.65,50.89,51.86,180337500,TSLA
2020-02-13,53.6,54.53,49.0,49.46,394339500,TSLA
2020-02-14,53.34,54.2,52.37,52.48,235405500,TSLA
2020-02-18,57.23,57.33,55.49,56.11,245725500,TSLA
2020-02-19,61.16,62.99,60.07,61.57,381345000,TSLA
2020-02-20,59.96,60.8,57.33,60.8,264523500,TSLA
2020-02-21,60.07,60.87,58.7,60.47,214722000,TSLA
2020-02-24,55.59,57.57,54.81,55.93,227883000,TSLA
2020-02-25,53.33,57.11,52.47,56.6,259357500,TSLA
2020-02-26,51.92,54.22,51.74,52.17,211282500,TSLA
2020-02-27,45.27,49.32,44.6,48.67,364158000,TSLA
2020-02-28,44.53,46.03,40.77,41.98,363343500,TSLA
2020-03-02,49.57,49.58,45.78,47.42,302925000,TSLA
2020-03-03,49.7,53.8,47.74,53.67,386760000,TSLA
2020-03-04,49.97,51.1,48.32,50.93,225735000,TSLA
2020-03-05,48.3,49.72,47.87,48.25,162790500,TSLA
2020-03-06,46.9,47.13,45.62,46.0,189943500,TSLA
2020-03-09,40.53,44.2,40.33,40.36,256105500,TSLA
2020-03-10,43.02,44.53,40.53,43.96,233916000,TSLA
2020-03-11,42.28,43.57,40.87,42.68,199837500,TSLA
2020-03-12,37.37,39.63,36.42,38.73,283636500,TSLA
2020-03-13,36.44,40.5,33.47,39.67,339604500,TSLA
2020-03-16,29.67,32.99,29.48,31.3,307342500,TSLA
2020-03-17,28.68,31.46,26.4,29.33,359919000,TSLA
2020-03-18,24.08,26.99,23.37,25.93,356793000,TSLA
2020-03-19,28.51,30.13,23.9,24.98,452932500,TSLA
2020-03-20,28.5,31.8,28.39,29.21,424282500,TSLA
2020-03-23,28.95,29.47,27.37,28.91,246817500,TSLA
2020-03-24,33.67,34.25,31.6,31.82,343428000,TSLA
2020-03-25,35.95,37.13,34.07,36.35,318340500,TSLA
2020-03-26,35.21,37.33,34.15,36.49,260710500,TSLA
2020-03-27,34.29,35.05,32.94,33.67,215661000,TSLA
2020-03-30,33.48,34.44,32.75,34.02,179971500,TSLA
2020-03-31,34.93,36.2,33.13,33.42,266572500,TSLA
2020-04-01,32.1,34.26,31.67,33.6,200298000,TSLA
2020-04-02,30.3,32.95,29.76,32.07,297876000,TSLA
2020-04-03,32.0,34.37,31.23,33.97,338431500,TSLA
2020-04-06,34.42,34.73,33.2,34.08,223527000,TSLA
2020-04-07,36.36,37.67,35.49,36.33,268797000,TSLA
2020-04-08,36.59,37.15,35.56,36.95,189840000,TSLA
2020-04-09,38.2,38.35,37.14,37.47,204750000,TSLA
2020-04-13,43.4,43.47,38.7,39.34,337131000,TSLA
2020-04-14,47.33,49.46,46.16,46.6,458647500,TSLA
2020-04-15,48.66,50.21,47.33,49.47,353655000,TSLA
2020-04-16,49.68,50.63,47.11,47.8,309868500,TSLA
2020-04-17,50.26,51.66,49.84,51.49,196923000,TSLA
2020-04-20,49.76,51.04,47.48,48.85,221199000,TSLA
2020-04-21,45.78,50.22,44.92,48.67,303136500,TSLA
2020-04-22,48.81,48.93,45.91,46.93,212482500,TSLA
2020-04-23,47.04,48.93,46.88,48.51,198550500,TSLA
2020-04-24,48.34,48.72,46.55,47.39,198180000,TSLA
2020-04-27,53.25,53.3,49.0,49.17,310221000,TSLA
2020-04-28,51.27,53.67,50.45,53.04,228330000,TSLA
2020-04-29,53.37,53.55,52.21,52.68,243240000,TSLA
2020-04-30,52.13,57.99,50.9,57.01,427078500,TSLA
2020-05-01,46.75,51.52,45.54,50.33,487977000,TSLA
2020-05-04,50.75,50.8,46.53,46.73,288556500,TSLA
2020-05-05,51.21,53.26,50.81,52.65,254875500,TSLA
2020-05-06,52.17,52.65,50.74,51.77,166848000,TSLA
2020-05-07,52.0,53.09,51.49,51.81,172915500,TSLA
2020-05-08,54.63,54.93,52.47,52.92,241297500,TSLA
2020-05-11,54.09,54.93,52.33,52.7,247794000,TSLA
2020-05-12,53.96,56.22,53.87,55.13,238603500,TSLA
2020-05-13,52.73,55.07,50.89,54.72,285982500,TSLA
2020-05-14,53.56,53.56,50.93,52.0,205233000,TSLA
