Date,CLOSE,HIGH,LOW,OPEN,VOLUME,COMPANY_TICKER
2020-01-02,36.43,36.72,36.36,36.41,20294700,WMT
2020-01-03,36.11,36.39,36.02,36.23,16197600,WMT
2020-01-06,36.04,36.17,35.77,35.96,19336500,WMT
2020-01-07,35.7,36.0,35.59,35.92,20540700,WMT
2020-01-08,35.58,35.76,35.44,35.63,17627400,WMT
2020-01-09,35.95,35.95,35.56,35.58,16691100,WMT
2020-01-10,35.65,35.94,35.53,35.91,18164400,WMT
2020-01-13,35.5,35.7,35.34,35.65,18337800,WMT
2020-01-14,35.59,35.6,35.27,35.37,19757400,WMT
2020-01-15,35.31,35.49,35.08,35.11,22362600,WMT
2020-01-16,35.5,35.51,35.31,35.38,16108200,WMT
2020-01-17,35.21,35.63,35.12,35.55,30135000,WMT
2020-01-21,35.41,35.44,35.08,35.1,22061100,WMT
2020-01-22,35.56,35.7,35.28,35.29,14778300,WMT
2020-01-23,35.48,35.63,35.24,35.6,12915300,WMT
2020-01-24,35.03,35.54,34.97,35.53,13150200,WMT
2020-01-27,35.49,35.6,34.52,34.67,21055200,WMT
2020-01-28,35.72,35.81,35.52,35.53,15810600,WMT
2020-01-29,35.5,35.88,35.5,35.7,11326500,WMT
2020-01-30,35.71,35.75,35.33,35.41,13744500,WMT
2020-01-31,35.07,35.61,34.89,35.47,23327400,WMT
2020-02-03,35.0,35.35,34.95,35.2,13041300,WMT
2020-02-04,35.31,35.61,35.19,35.3,15696600,WMT
2020-02-05,35.78,35.82,35.18,35.41,17048700,WMT
2020-02-06,35.63,35.91,35.55,35.79,16058700,WMT
2020-02-07,35.67,35.77,35.46,35.57,11068800,WMT
2020-02-10,35.3,35.83,35.24,35.46,18434700,WMT
2020-02-11,35.35,35.38,35.06,35.36,17390400,WMT
2020-02-12,35.49,35.66,35.35,35.38,14206800,WMT
2020-02-13,35.97,36.0,35.4,35.49,15999600,WMT
2020-02-14,36.11,36.32,35.89,36.04,24391800,WMT
2020-02-18,36.65,36.74,35.95,36.29,34539600,WMT
2020-02-19,36.05,36.74,36.05,36.61,21563400,WMT
2020-02-20,36.05,36.18,35.8,35.9,15068700,WMT
2020-02-21,36.32,36.38,35.93,35.97,18726300,WMT
2020-02-24,35.63,36.29,35.52,35.98,19848000,WMT
2020-02-25,35.04,35.86,34.94,35.64,23292900,WMT
2020-02-26,34.85,35.28,34.81,35.14,20019900,WMT
2020-02-27,33.82,34.94,33.8,34.48,28476900,WMT
2020-02-28,32.98,33.24,31.97,32.99,52369200,WMT
2020-03-02,35.5,35.66,32.87,32.96,51222600,WMT
2020-03-03,34.59,36.0,34.41,35.56,33340800,WMT
2020-03-04,35.77,35.79,34.76,34.99,24625200,WMT
2020-03-05,35.51,35.92,34.89,35.04,25638300,WMT
2020-03-06,35.91,36.12,34.62,34.88,29411100,WMT
2020-03-09,35.89,36.95,34.53,34.87,59243400,WMT
2020-03-10,36.69,36.97,35.2,36.18,37797300,WMT
2020-03-11,35.05,36.46,34.55,36.0,31620000,WMT
2020-03-12,31.87,34.15,31.54,32.48,56323200,WMT
2020-03-13,34.95,35.1,31.82,33.16,42962100,WMT
2020-03-16,32.7,34.1,31.24,32.22,36753900,WMT
2020-03-17,36.53,36.53,33.84,34.54,52806000,WMT
2020-03-18,37.55,39.23,35.07,35.23,77355900,WMT
2020-03-19,36.75,39.07,36.19,38.29,57100500,WMT
2020-03-20,35.07,37.78,34.43,36.77,55423500,WMT
2020-03-23,35.16,36.16,34.52,35.13,39366000,WMT
2020-03-24,35.39,36.11,34.25,35.65,42705000,WMT
2020-03-25,33.66,35.08,33.24,34.76,53287500,WMT
2020-03-26,33.79,34.11,32.88,33.66,58250700,WMT
2020-03-27,33.72,34.55,33.41,33.88,36160500,WMT
2020-03-30,35.44,35.63,34.13,34.42,29212500,WMT
2020-03-31,34.96,35.75,34.66,35.17,26258400,WMT
2020-04-01,35.12,35.55,34.4,34.51,28269600,WMT
2020-04-02,36.51,36.65,34.56,34.82,29515500,WMT
2020-04-03,36.76,36.89,36.01,36.06,28625100,WMT
2020-04-06,38.79,38.89,36.6,36.63,47768700,WMT
2020-04-07,37.53,38.92,37.43,38.15,41369700,WMT
2020-04-08,37.49,38.09,37.1,38.06,27876600,WMT
2020-04-09,37.47,37.8,36.2,36.37,32828700,WMT
2020-04-13,38.55,38.67,37.28,37.31,24194100,WMT
2020-04-14,39.69,39.93,38.78,39.11,34098900,WMT
2020-04-15,39.62,39.96,39.11,39.69,22435200,WMT
2020-04-16,40.71,40.9,39.46,39.69,31882200,WMT
2020-04-17,40.65,40.91,39.91,40.45,30915300,WMT
2020-04-20,39.95,41.04,39.92,40.73,24401700,WMT
2020-04-21,39.75,40.31,39.43,40.02,27900600,WMT
2020-04-22,40.49,40.73,39.66,40.0,19448100,WMT
2020-04-23,39.55,40.33,39.3,39.95,28839900,WMT
2020-04-24,39.83,39.96,39.55,39.8,17343600,WMT
2020-04-27,39.47,40.09,39.43,40.0,17923800,WMT
2020-04-28,39.38,40.07,39.29,39.47,20732100,WMT
2020-04-29,38.03,38.69,37.71,38.63,44612100,WMT
2020-04-30,37.4,37.98,37.24,37.87,40497900,WMT
2020-05-01,37.82,38.06,37.16,37.38,31143900,WMT
2020-05-04,38.06,38.27,37.45,38.1,17807700,WMT
2020-05-05,38.38,38.54,37.92,38.09,19337400,WMT
2020-05-06,37.94,38.61,37.8,38.52,17309100,WMT
2020-05-07,37.67,38.31,37.55,38.15,27345600,WMT
2020-05-08,37.99,38.01,37.58,37.93,20830800,WMT
2020-05-11,38.22,38.42,38.01,38.02,25341900,WMT
2020-05-12,38.25,38.83,38.25,38.47,19100100,WMT
2020-05-13,38.23,39.01,38.04,38.17,29175300,WMT
2020-05-14,38.14,38.67,37.49,38.58,22233000,WMT
2020-05-15,38.92,38.92,38.04,38.16,31770000,WMT
2020-05-18,39.45,39.73,38.97,39.4,38633700,WMT
2020-05-19,38.61,40.79,38.57,40.71,74746200,WMT
2020-05-20,38.77,39.12,38.51,39.09,32246400,WMT
2020-05-21,38.63,38.98,38.4,38.59,22448100,WMT
2020-05-22,38.42,38.74,38.25,38.66,22359600,WMT
2020-05-26,38.28,38.79,38.21,38.42,23730600,WMT
2020-05-27,37.85,38.47,37.4,38.31,31073700,WMT
2020-05-28,38.22,38.61,38.06,38.23,24424800,WMT
2020-05-29,38.34,38.54,37.68,38.39,29311200,WMT
2020-06-01,38.31,38.45,37.81,38.15,20550300,WMT
2020-06-02,38.3,38.37,37.95,38.19,19187700,WMT
2020-06-03,38.16,38.32,37.91,38.29,20262900,WMT
2020-06-04,37.74,38.29,37.65,37.95,24015000,WMT
2020-06-05,37.57,37.91,37.06,37.88,39337200,WMT
2020-06-08,37.47,37.47,36.92,36.95,28344300,WMT
2020-06-09,37.5,37.7,37.26,37.58,20746200,WMT
2020-06-10,37.44,37.86,37.43,37.57,28141500,WMT
2020-06-11,37.11,37.88,36.92,37.39,34162800,WMT
2020-06-12,36.39,37.32,36.18,37.24,32359200,WMT
2020-06-15,36.49,36.68,36.16,36.59,32703300,WMT
2020-06-16,36.98,37.15,36.63,37.02,25167600,WMT
2020-06-17,36.78,37.12,36.59,37.04,20166900,WMT
2020-06-18,36.46,36.79,36.36,36.63,20070000,WMT
2020-06-19,37.04,37.18,36.39,36.74,40078800,WMT
2020-06-22,37.6,37.73,37.21,37.38,27338400,WMT
2020-06-23,37.41,37.96,37.38,37.93,19727700,WMT
2020-06-24,37.18,37.43,36.95,37.31,20614800,WMT
2020-06-25,36.99,37.13,36.58,37.01,20569800,WMT
2020-06-26,36.56,37.34,36.47,36.96,26991600,WMT
2020-06-29,36.79,36.98,36.53,36.62,16511400,WMT
2020-06-30,37.02,37.12,36.63,36.84,20509200,WMT
2020-07-01,36.99,37.06,36.67,36.91,19733700,WMT
2020-07-02,36.84,37.36,36.73,37.11,17695800,WMT
2020-07-06,36.74,37.04,36.53,37.02,21695100,WMT
2020-07-07,39.23,39.42,36.53,36.6,93458100,WMT
2020-07-08,38.46,39.6,38.44,39.56,52217100,WMT
2020-07-09,39.48,39.61,38.61,38.82,42771600,WMT
2020-07-10,40.38,40.6,39.33,39.78,44236800,WMT
2020-07-13,40.03,41.3,39.83,40.58,42338400,WMT
2020-07-14,40.8,40.95,39.87,39.95,26455800,WMT
2020-07-15,40.79,41.45,40.42,40.88,31731300,WMT
2020-07-16,40.85,41.02,40.56,40.81,17676600,WMT
2020-07-17,40.71,41.22,40.63,41.22,18189600,WMT
2020-07-20,40.63,41.02,40.53,40.78,18342600,WMT
2020-07-21,40.89,41.41,40.62,40.66,21712500,WMT
2020-07-22,41.0,41.11,40.54,40.97,16164600,WMT
2020-07-23,40.68,41.15,40.58,41.1,16796400,WMT
2020-07-24,40.56,40.92,40.33,40.47,13037400,WMT
2020-07-27,40.55,40.79,40.44,40.44,14045700,WMT
2020-07-28,40.72,40.91,40.46,40.64,14414100,WMT
2020-07-29,40.39,40.75,40.13,40.66,14223300,WMT
2020-07-30,40.21,40.3,39.78,39.99,13788300,WMT
2020-07-31,39.99,40.2,39.44,40.07,21631500,WMT
2020-08-03,39.96,40.21,39.64,40.15,14971500,WMT
2020-08-04,40.68,40.7,39.85,40.07,18219600,WMT
2020-08-05,40.12,40.41,39.81,40.31,25483500,WMT
2020-08-06,39.97,40.24,39.87,39.91,14496300,WMT
2020-08-07,40.16,40.32,39.9,40.04,16558500,WMT
2020-08-10,40.75,40.9,40.07,40.25,17683200,WMT
2020-08-11,40.24,41.06,40.09,40.97,25360200,WMT
2020-08-12,40.76,40.86,39.89,40.32,19094400,WMT
